treatment,score
shape_long,1.1157047884496618
primary_concept_spoon,0.7054498789989674
primary_concept_handle_of_knife,0.6433381895176591
primary_concept_head_of_fork,0.641773305184276
color_yellow,0.6314829212765123
primary_concept_teaspoon,0.5251749751286068
shape_rectangular,0.5084176842307215
primary_concept_background_of_fork,0.4207360520057929
color_olive,0.3435054729957533
color_beige,0.33558567231369385
primary_concept_texture/line_of_background,0.30017475469312627
primary_concept_light_gradients_of_background,0.3001747546931262
primary_concept_knife,0.27091574727798196
primary_concept_textures_of_spatula,0.2570695976317667
color_grey,0.24791626709069636
shape_fork shape,0.22546243561531354
color_brown,0.2214162047018396
primary_concept_head_of_teaspoon,0.20219380366449113
primary_concept_background,0.15770783604477895
shape_fork,0.1284247834067126
primary_concept_middle_of_knif,0.10742274355173376
color_aqua,0.10547072231369398
shape_line,0.09967872583944304
shape_spoon and long,0.07417130687976492
shape_linear,0.04620361738701062
color_golden,0.015947908072573957
color_gold,0.015603653794451722
shape_curve,0.014923892818086537
primary_concept_fork,0.011163481825792188
color_maroon,0.008606721813991136
shape_spoon,0.008258031519065734
color_gray,0.00825803151906529
color_bronze,0.004019229134995028
shape_flower floral,0.0040192291349941955
primary_concept_spatula,0.0038686118922429125
color_palegoldenrod,-0.4616705738478635
primary_concept_light_reflections_of_fork,-0.2803335694026824
color_red,-0.25491885129098457
primary_concept_bottom_of_scraper,-0.2510304258713929
primary_concept_metal_drainer/spatula,-0.24373630987139328
primary_concept_middle_of_background,-0.19319840986273118
primary_concept_top_of_fork,-0.18820139296647748
color_blue,-0.1694523443784527
primary_concept_bottom-right-corner_of_spatial,-0.1677393347665168
primary_concept_light_gradient_of_background,-0.16549791230687366
primary_concept_top_of_scraper,-0.16313702116651696
color_black,-0.16141125636146875
primary_concept_tail_of_fork,-0.16064633642877893
primary_concept_head_of_knife,-0.1558503123470313
primary_concept_bottom_of_knife,-0.15373521168535184
color_green,-0.15131776046568163
color_silver,-0.1352247041017618
primary_concept_background_of_knife,-0.13412442275830344
primary_concept_bottom_of_utensil,-0.13017845774291353
color_white,-0.11719930190729944
color_darkgray,-0.10162993632996647
primary_concept_handle_of_fork,-0.08897668231206918
shape_rectangle,-0.07970030149470592
shape_square,-0.07551054349339975
shape_rectangle with curved edges,-0.06430359847815992
shape_ellipse,-0.0531182707935855
shape_straight,-0.052923119789116124
primary_concept_butter_knife,-0.03281706933186057
primary_concept_texture_of_spatula,-0.030441629112806012
color_lightbronze,-0.01711842768630717
