treatment,score
primary_concept_top_of_spatula,0.783386066877705
primary_concept_guitar,0.7823804168777019
primary_concept_shadow_of_spatula,0.772998716877704
primary_concept_head_of_spatula,0.5430331764083565
primary_concept_bottom_of_spatula,0.5109471787172395
primary_concept_handle_of_spatula,0.5109106590409622
primary_concept_kitchen_spoon,0.46836702871724184
primary_concept_bottom_of_utensil,0.43618459940352344
primary_concept_spatula,0.3833566592015589
primary_concept_sides_of_background,0.3530395287172402
color_goldenrod,0.3014756587182417
color_yellow,0.2583581159767313
primary_concept_side_of_background,0.21892647655665415
color_red,0.14133812809094948
shape_parallelogram,0.1408954697076194
color_bollywood,0.11852454768381171
color_silver,0.10307317726567217
shape_fork shape,0.08607986015511948
color_blue,0.08012315891495175
color_grey,0.042220921718242266
color_darkgoldenrod,0.03372012690839532
color_white,0.03133097334705215
color_gold,0.029746663602239265
color_cornstalk,0.01865840322071116
shape_rectangular,0.009032576867828213
primary_concept_head_of_spoon,-0.6722859784339301
primary_concept_tail_of_spoon,-0.6310919753792205
primary_concept_top_of_background,-0.5537940884687804
primary_concept_teaspoon,-0.47994754178276006
primary_concept_spoon,-0.4756151176897082
primary_concept_head_of_fork,-0.4562099641127254
primary_concept_fork,-0.44083733714293394
primary_concept_bottom_of_knife,-0.42056970059647636
color_olive,-0.4097978192313887
primary_concept_knife,-0.3765619443793028
primary_concept_butter_knife,-0.37041163656354187
primary_concept_head_of_knife,-0.3477785737817734
primary_concept_head_of_butter_knife,-0.32056765128275927
primary_concept_cake_lifter,-0.3019365212827612
primary_concept_middle_of_background,-0.24267702034705824
color_black,-0.2327801340936168
primary_concept_background_of_fork,-0.2323604038470565
primary_concept_tail_of_knife,-0.1986670136837949
shape_semicircle,-0.1964241856868049
shape_rectangle,-0.17448553974733788
shape_oval,-0.17320497829673745
color_green,-0.14160627894913774
primary_concept_background,-0.11660179231932144
shape_square,-0.04434387704082321
shape_curve,-0.039038870781440554
shape_spoon,-0.004392569614922515
