treatment,score
color_red,0.9494617193898959
color_bollywood,0.9456285911129888
primary_concept_head_of_spoon,0.8738448379743954
primary_concept_tail_of_spoon,0.8256003611852403
primary_concept_teaspoon,0.6655796709829644
primary_concept_spoon,0.6216541688575463
primary_concept_head_of_butter_knife,0.4291081309829665
primary_concept_bottom_of_knife,0.40889471498421737
color_olive,0.4023252595302752
shape_oval,0.32558464695691736
primary_concept_cake_lifter,0.2799989709829641
primary_concept_background,0.2659416602605021
primary_concept_head_of_knife,0.2510958839339923
shape_rectangle,0.24017381097593127
primary_concept_middle_of_background,0.23860894001265387
color_green,0.18945009519096256
primary_concept_knife,0.1833620682210837
shape_rectangular,0.17096026976907408
primary_concept_background_of_fork,0.16873373501265343
primary_concept_handle_of_spatula,0.15780445757474915
shape_spoon,0.10478277408011039
color_gold,0.10346361200851062
primary_concept_butter_knife,0.10041951531336568
primary_concept_fork,0.08230042132543136
color_darkgoldenrod,0.06552484869632225
primary_concept_tail_of_knife,0.05639685566205621
color_blue,0.03778836890134285
shape_parallelogram,0.008175473336563543
color_goldenrod,-0.6345176673989346
color_grey,-0.6273190588989356
color_yellow,-0.40725842480931695
primary_concept_shadow_of_spatula,-0.33951004658353756
primary_concept_top_of_spatula,-0.3393904446835381
primary_concept_top_of_background,-0.3393024471932835
primary_concept_head_of_spatula,-0.33836754891337967
primary_concept_guitar,-0.3368936910835366
primary_concept_bottom_of_utensil,-0.33346554101578346
primary_concept_bottom_of_spatula,-0.3280765996170373
primary_concept_kitchen_spoon,-0.32271421901703323
shape_curve,-0.300336776965076
primary_concept_sides_of_background,-0.2819335890170355
shape_fork shape,-0.22599931094243758
primary_concept_spatula,-0.22492679800914828
color_silver,-0.142807012897065
shape_semicircle,-0.13559732108698108
color_black,-0.11169107896450936
color_cornstalk,-0.10494002964753263
color_white,-0.06663692629418516
shape_square,-0.0542598996684735
primary_concept_side_of_background,-0.04941725298301469
primary_concept_head_of_fork,-0.01692434376273322
