treatment,score
primary_concept_bicycle,0.6434390899391751
primary_concept_bee,0.5020685639324167
color_pink,0.38407388993917496
primary_concept_camera,0.3509316393978652
color_clear,0.23394653658536585
primary_concept_bottle,0.1782363021342958
color_blue,0.1469707295062112
primary_concept_ant,0.10604085333757535
color_white,0.06607204255967736
primary_concept_background,0.03399767330429876
primary_concept_buildings,0.020936388403456185
color_chocolate,-0.3097161630608253
color_light,-0.2789830665608249
primary_concept_dog,-0.2694487750608259
color_dark,-0.2644097220363445
color_orange,-0.2641871911398825
color_green,-0.2589226041288065
primary_concept_clock,-0.25344381679664996
color_grey,-0.24546190566956533
color_black,-0.2426853633498981
color_gold,-0.20631120680978168
color_yellow,-0.16579782555389894
primary_concept_bottle_cap,-0.12055514294154052
primary_concept_branding_paper,-0.12055514294153985
primary_concept_ants,-0.08019376732132202
primary_concept_box,-0.07283403855710757
color_silver,-0.07283403855710743
color_red,-0.056886171806252106
color_brown,-0.022636540410824635
primary_concept_animal,-0.011672690316056444
