treatment,score
primary_concept_fork,0.3599795621392044
color_silver,0.31474142981367614
primary_concept_knife,0.29744389762555257
primary_concept_knife_handle,0.22565244301612586
color_violet,0.18632298006572967
color_bollywood,0.17239568057198512
primary_concept_photo,0.09852364592771579
primary_concept_background,0.05524727160097642
primary_concept_spoon,-0.3845875797024426
color_olivedrab,-0.36023834669603527
color_olive,-0.35933521075412295
color_brown,-0.3048988960436177
color_gray,-0.22504513822605007
primary_concept_spatula,-0.21791440428481718
color_yellow,-0.16573549076846425
primary_concept_guitar,-0.16521012068320431
color_black,-0.15785517035816166
color_green,-0.12963259273285646
color_blue,-0.12902976945829206
color_purple,-0.10989630650882581
primary_concept_paper,-0.08640201145273002
color_red,-0.04258226406765203
color_gold,-0.04082325499588807
color_golden,-0.031232919946580673
color_white,-0.005741698560491892
