treatment,score
color_brown,0.4398341862279017
primary_concept_spatula,0.4320785772947378
color_black,0.4283687138165764
primary_concept_paper,0.3191545026123839
color_gray,0.23042998873463005
primary_concept_guitar,0.21284840852648368
color_purple,0.17869877596639955
color_yellow,0.1727608106247992
color_blue,0.14395239618478184
color_red,0.11109241934875325
color_gold,0.07277491085394655
color_green,0.07155081128393587
primary_concept_background,0.03565011701818177
color_white,0.033425196520785905
color_silver,-0.4203710615433551
primary_concept_photo,-0.2575439055021213
color_olive,-0.15883742145368224
color_olivedrab,-0.15739612396993266
primary_concept_spoon,-0.15081634245324954
primary_concept_fork,-0.14189538029182963
primary_concept_knife,-0.11602442582405048
primary_concept_knife_handle,-0.10115976676893007
color_violet,-0.08275341183463808
color_bollywood,-0.07453008519138454
color_golden,-0.03865808391064418
