treatment,score
primary_concept_spoon,0.6406670763230646
color_olive,0.5181726076047736
color_olivedrab,0.517634445545949
primary_concept_photo,0.2185979461657543
color_green,0.07493571753695039
color_golden,0.06989099528466636
primary_concept_guitar,0.01118522681062295
primary_concept_background,0.004206164680382596
color_black,-0.2672289864335824
primary_concept_paper,-0.17694552707033073
color_brown,-0.13493525696178899
primary_concept_fork,-0.12488137465992347
primary_concept_spatula,-0.12079407406127524
color_violet,-0.10356956324816852
primary_concept_knife,-0.10147474187906022
primary_concept_knife_handle,-0.07285939934455699
color_purple,-0.06880249237718722
color_red,-0.06851010909042315
color_bollywood,-0.061626087803974106
color_gold,-0.03195163925279876
color_white,-0.027683511053793963
color_blue,-0.014922626557364205
color_silver,-0.012453946855094933
color_yellow,-0.007025292975270991
color_gray,-0.005384897100246588
