treatment,score
primary_concept_teaspoon,0.7255489427029862
primary_concept_spoon,0.5640285988990388
primary_concept_fork,0.34517831860746334
color_green,0.2993528608645527
primary_concept_knife,0.29120450591098085
primary_concept_tablespoon,0.2884179283725193
primary_concept_butter_knife,0.15299686515572214
color_bronze,0.14797163535987495
color_yellow,0.10573648138354413
primary_concept_fish_knife,0.10144505268020987
color_golden,0.08233516711538474
color_brown,0.07282818595276935
primary_concept_spatula,0.07149914811509539
color_silver,-0.39488960268630563
color_red,-0.23356477763050973
color_gold,-0.1865767107939711
color_lightbronze,-0.15449824252307676
color_grey,-0.12750738835468667
primary_concept_background,-0.1146476998461533
color_blue,-0.09346965657502487
primary_concept_guitar_keychain,-0.06806113311538503
color_black,-0.047435246977553414
color_aquamarine,-0.00546180792745099
