treatment,score
primary_concept_ant,0.5753551432198909
color_gray,0.53623967321989
color_maroon,0.5362396732198895
color_plum,0.21868687476539672
color_skin,0.008467889897259329
color_transplant,-0.41712452740511036
primary_concept_basket,-0.4169789126901825
primary_concept_fingers,-0.4155183205814794
color_grey,-0.4044706353822865
color_orange,-0.3852550912357703
color_yellow,-0.38350943657899955
primary_concept_background,-0.3810730307513148
primary_concept_bicycle_bidon,-0.37082149678011
primary_concept_bee,-0.3642750726088749
color_silver,-0.36206376033093307
primary_concept_can,-0.34175033488728207
primary_concept_bicycle,-0.3340429667801108
primary_concept_ant_statue,-0.2547163265955185
primary_concept_drinking_fountain,-0.25377642187633986
color_red,-0.23972167675021447
primary_concept_glass_jar,-0.1742789548324209
primary_concept_backpack,-0.1409361654926305
color_lightgray,-0.14093616549263033
primary_concept_cups,-0.09182093460420485
color_white,-0.08744358356321452
color_darkgoldenrod,-0.08328352724064658
color_green,-0.04099623273370945
primary_concept_flip_flop,-0.019210945694213166
