treatment,score
color_transplant,0.8402225643598312
primary_concept_fingers,0.8322824480995558
primary_concept_can,0.7942758078128372
primary_concept_bee,0.7828282058796345
primary_concept_bicycle_bidon,0.7670829943598301
color_orange,0.6720455984932465
primary_concept_drinking_fountain,0.6535829009466918
primary_concept_glass_jar,0.5197903944109596
color_grey,0.4905592322952537
primary_concept_background,0.33087048100360716
primary_concept_flip_flop,0.2975647553547003
color_lightgray,0.2814175952631388
primary_concept_backpack,0.2814175952631385
color_red,0.24227747281507378
primary_concept_ant_statue,0.16067277301518545
color_darkgoldenrod,0.053340860374163135
color_yellow,0.009709016265196324
color_skin,-0.5100762195205468
color_silver,-0.17693472584955988
primary_concept_ant,-0.1571721101599367
primary_concept_basket,-0.14932765021533984
primary_concept_cups,-0.14465948309395407
color_white,-0.13974260303743066
color_gray,-0.13227191564016913
color_maroon,-0.13227191564016874
primary_concept_bicycle,-0.131856090640168
color_green,-0.10001193314206169
color_plum,-0.07979958910558604
