treatment,score
primary_concept_basket,0.5162688952352628
color_skin,0.5016082587328772
color_yellow,0.3145235421865773
primary_concept_ant_statue,0.2550074247281413
primary_concept_cups,0.25046098704523284
color_white,0.17659642888492283
color_green,0.09041842040076747
color_silver,0.039986765465793495
primary_concept_can,-0.47602366481257924
color_transplant,-0.4736877832092326
primary_concept_ant,-0.4687727789418996
primary_concept_fingers,-0.4673537773627943
primary_concept_cup,-0.46667389247923124
primary_concept_bee,-0.45628211345480424
color_maroon,-0.45455762047923554
primary_concept_bicycle_bidon,-0.4468512934792319
color_red,-0.4071621876749364
primary_concept_glass_jar,-0.34551138179337987
color_orange,-0.336566550503741
color_lightgray,-0.15757569544960418
primary_concept_backpack,-0.15757569544960318
color_plum,-0.14384710765171152
color_grey,-0.1364312417232635
primary_concept_background,-0.0001401080967133872
