treatment,score
color_purple,0.7623553612529419
primary_concept_knife,0.7045496077839923
color_black,0.6598363158066911
primary_concept_background,0.659057577891429
primary_concept_fork,0.6343987862232185
color_silver,0.234868768161867
color_grey,0.12936398543572938
color_red,0.12282352676635849
color_green,0.05908363636759201
color_blue,0.05906429845963557
color_gray,0.036370403025009934
color_azure,0.027415512412696297
color_steel,0.02281998288612075
color_aqua,0.005068383783669528
primary_concept_spoon,-0.38933985558318296
primary_concept_wire,-0.311293280533685
primary_concept_string,-0.29397581451979615
primary_concept_spatula,-0.25541917336992315
primary_concept_pasta_server,-0.1620967117813688
color_bollywood,-0.12386598147504785
color_plum,-0.12027264230504744
color_yellow,-0.1161828323717144
primary_concept_teaspoon,-0.11457269342780715
color_olive,-0.1116440247050482
color_gold,-0.10004366171180415
color_white,-0.0757294594080084
primary_concept_bulb,-0.0006718213333333778
