treatment,score
primary_concept_spatula,0.722924319799428
color_bollywood,0.4930092567315619
primary_concept_pasta_server,0.4809479782312505
color_green,0.21211308881138363
color_red,0.07217406155267148
color_yellow,-0.2220532352170299
color_purple,-0.2095913683749981
color_plum,-0.20571243418718876
color_olive,-0.2056840160135764
color_black,-0.18572671114185074
primary_concept_spoon,-0.13818345433074466
primary_concept_teaspoon,-0.12063506914792968
primary_concept_wire,-0.10724989729596793
primary_concept_string,-0.0999663490824943
color_silver,-0.05523047701182693
color_blue,-0.05269708514324356
color_grey,-0.034238684537439945
color_aqua,-0.024953928749718274
primary_concept_background,-0.023708830188666014
color_azure,-0.023103554508949686
color_white,-0.01520534685436381
color_gold,-0.01330759602358117
color_gray,-0.012847036866970696
primary_concept_knife,-0.012252708870367779
primary_concept_fork,-0.011640039858435147
color_steel,-0.0005134309607201515
primary_concept_bulb,-0.00011597490694431611
