treatment,score
primary_concept_spoon,0.5372686179245794
primary_concept_teaspoon,0.37055799467862843
primary_concept_wire,0.3622444467099754
color_yellow,0.356896758081857
color_green,0.34628902141459306
primary_concept_string,0.33681440008283237
color_plum,0.33599154305303935
color_olive,0.32991116069192683
primary_concept_bulb,0.000787771111111335
primary_concept_spatula,-0.36039786131622475
color_bollywood,-0.36020981913142225
color_purple,-0.3058102410566275
color_black,-0.1958354796372852
color_red,-0.17735387282749465
color_silver,-0.1353082329660027
color_grey,-0.10625920943731088
primary_concept_background,-0.07635331659036759
color_azure,-0.06437762662867874
color_gold,-0.04464747066772451
color_white,-0.03834245818555854
color_gray,-0.03687786519828107
color_steel,-0.03566110478439133
primary_concept_knife,-0.03495127253222091
color_aqua,-0.02884433921839108
primary_concept_pasta_server,-0.022295270615911023
color_blue,-0.016278276460890195
primary_concept_fork,-0.002780995688985155
