treatment,score
color_grey,0.26904581693978225
color_black,0.259412015808019
primary_concept_fork,0.18769892656326265
color_goldenrod,0.16299331066482203
primary_concept_butter_knife,0.1295387073629201
primary_concept_background,0.12818934012388228
color_yellow,0.10994078387150222
primary_concept_knife,0.09420958347176361
color_blue,0.051243527610331796
color_white,0.027807638938266988
color_darkgoldenrod,0.024397794607909362
color_gold,0.02152738976568147
color_olive,0.016313756357837023
color_cornstalk,0.0023807295643028803
primary_concept_guitar,-0.27776770781570104
primary_concept_spatula,-0.2291205152111454
color_bollywood,-0.17859284221700236
color_green,-0.1684011173421976
color_red,-0.16524330206754012
primary_concept_kitchen_spoon,-0.12859500491981724
primary_concept_teaspoon,-0.12183972943096424
primary_concept_spoon,-0.11871606323604852
color_silver,-0.03847818161158448
primary_concept_cake_lifter,-0.02484857301505508
primary_concept_utensil,-0.011260975282740088
