treatment,score
primary_concept_spatula,0.6606634583745116
primary_concept_guitar,0.5107521955306062
primary_concept_kitchen_spoon,0.48496920696770235
primary_concept_utensil,0.45437998411055863
color_silver,0.22277208811852311
color_yellow,0.20996896623179695
color_goldenrod,0.09188924630825218
primary_concept_background,0.07445964970331109
color_green,0.06891308861487955
color_cornstalk,0.06890556687067861
primary_concept_cake_lifter,0.008114628396274859
primary_concept_butter_knife,0.0014236264360701356
primary_concept_spoon,-0.50913112589167
color_darkgoldenrod,-0.21598124922089829
color_white,-0.2108399032208977
color_red,-0.2069428551015809
color_blue,-0.19550815431354313
color_olive,-0.19102303898089829
color_gold,-0.18551890728787795
primary_concept_fork,-0.11857278110383351
primary_concept_teaspoon,-0.10208267000848739
primary_concept_knife,-0.024247481663129344
color_black,-0.019134164388960706
color_grey,-0.017621862194918347
color_bollywood,-0.009920195132665566
