treatment,score
primary_concept_teaspoon,0.6381833453718103
primary_concept_spoon,0.6329814116039971
color_green,0.33570434960252227
color_red,0.3263173376534749
primary_concept_knife,0.2655879877738173
primary_concept_cake_lifter,0.22664326919861677
primary_concept_fork,0.1992547708108694
color_bollywood,0.19693727671052852
color_olive,0.1727224082623544
primary_concept_butter_knife,0.07666864791094219
primary_concept_utensil,-0.42511822350236067
color_yellow,-0.3725871244342328
primary_concept_background,-0.3480562244238526
color_goldenrod,-0.3146518131423125
color_grey,-0.28108919333994453
primary_concept_spatula,-0.23437031672629982
color_black,-0.17683765590077755
primary_concept_guitar,-0.1738847661989813
primary_concept_kitchen_spoon,-0.14646489603947888
color_silver,-0.12304168740027588
color_blue,-0.11801412292228619
color_cornstalk,-0.09669567503416432
color_white,-0.09400036027584774
color_darkgoldenrod,-0.08756078741870121
color_gold,-0.06967681556056815
