primary_concept,nde,mediator,nie,total,mediation_proportion
primary_concept_butter_knife,0.22979050742444257,primary_concept_background,-0.10025180006152247,0.1295387073629201,-0.7739138524877631
primary_concept_cake_lifter,0.05450673277591997,primary_concept_background,-0.07935530579097505,-0.02484857301505508,3.1935558530019335
primary_concept_fork,0.3112960108663804,primary_concept_background,-0.12359708430311778,0.18769892656326265,-0.6584858345551604
primary_concept_guitar,-0.20451665631633986,primary_concept_background,-0.07325105149936116,-0.27776770781570104,0.26371334549789804
primary_concept_kitchen_spoon,-0.049239699128842296,primary_concept_background,-0.07935530579097494,-0.12859500491981724,0.6170947762742053
primary_concept_teaspoon,-0.11862630647359072,color_silver,-0.003213422957373526,-0.12183972943096424,0.026374180018138398
primary_concept_utensil,0.0003888615847008163,color_silver,-0.011649836867440904,-0.011260975282740088,1.0345317856524232
color_black,0.2451053941659003,color_silver,0.014306621642118685,0.259412015808019,0.05515018877424118
color_blue,0.029805233770272818,color_silver,0.021438293840058978,0.051243527610331796,0.41836100752237354
color_bollywood,-0.19568345769938839,color_silver,0.017090615482386034,-0.17859284221700236,-0.09569597118354711
color_darkgoldenrod,0.006920763075799072,color_silver,0.01747703153211029,0.024397794607909362,0.7163365301241008
color_gold,-0.0042996317384352035,color_silver,0.025827021504116674,0.02152738976568147,1.199728429003018
color_green,-0.20101806037272163,color_silver,0.032616943030524044,-0.1684011173421976,-0.19368602504130156
color_grey,0.25039057896178407,color_silver,0.0186552379779982,0.26904581693978225,0.06933851709790237
color_olive,0.011583900629079168,color_silver,0.004729855728757853,0.016313756357837023,0.2899305117110972
color_red,-0.17801801816166896,color_silver,0.012774716094128826,-0.16524330206754012,-0.07730852587844922
color_white,0.010330607406156943,color_silver,0.017477031532110044,0.027807638938266988,0.6284974992270681
color_yellow,0.0924851458275013,color_silver,0.017455638044000923,0.10994078387150222,0.1587730906521725
color_cornstalk,-0.017775859152653502,color_silver,0.020156588716956383,0.0023807295643028803,8.46655958710648
color_goldenrod,0.14838538085825698,color_silver,0.014607929806565062,0.16299331066482203,0.08962287928861495
