treatment,score
primary_concept_wheel,0.27988250554989336
shape_oval,0.1525723514570981
shape_irregular,0.14357605666666964
color_chocolate,0.14357605666666623
color_clear,0.12316980615134296
primary_concept_pump,0.10273049116833283
color_orange,0.0897045345270541
color_light,0.0801933177156573
color_green,0.07903569770699798
color_brown,0.0786747792934076
color_red,0.0740119773528291
primary_concept_branding_paper,0.06593308126601391
primary_concept_bottle_cap,0.06593308126601385
color_dark,0.0518343787405805
color_black,0.04316950397518976
color_gold,0.03147853140755935
primary_concept_pile,0.02704188242572933
primary_concept_box,0.021388015699448315
shape_god,0.01990441556910605
color_silver,0.01990441556910577
shape_sphere,0.01824777431980157
color_yellow,0.014371875684980023
primary_concept_window,-0.9337349251174658
primary_concept_door,-0.925369740443169
primary_concept_note,-0.9205886349612942
primary_concept_seal,-0.748709173394604
primary_concept_storage_box,-0.7275858872382399
primary_concept_insect,-0.7085319683620088
primary_concept_dog,-0.7042563283620107
primary_concept_bee,-0.702150905383968
shape_round,-0.7015650134948797
primary_concept_camera,-0.6699531914629575
shape_tubular,-0.6640929086666663
primary_concept_grasshopper,-0.662201024890491
primary_concept_furniture,-0.6443251133946033
primary_concept_toiletpaper,-0.6092777666666651
primary_concept_buildings,-0.5834922451485434
primary_concept_water_background,-0.542692778733986
primary_concept_tree,-0.5281473171211151
primary_concept_background,-0.44338814757747946
primary_concept_mantis,-0.38682458996275615
primary_concept_praying_mantis,-0.338173152731479
shape_square,-0.3272103303404336
primary_concept_sign,-0.31436047028240627
primary_concept_pen,-0.3085930582402647
primary_concept_hand,-0.29980188833333277
primary_concept_glass,-0.2998018883333327
shape_mantis,-0.2704627214373741
primary_concept_finger,-0.2687948764508297
shape_line,-0.22819814371311278
primary_concept_doormat,-0.21790257754347322
shape_triangle,-0.2146851992172542
primary_concept_photo_of_kid,-0.2131214720615965
shape_pen,-0.21074647879823127
shape_hand,-0.20230533928184274
shape_man,-0.20230533928184152
primary_concept_ants,-0.18603833059216435
primary_concept_bottle,-0.1830077407199535
color_pink,-0.1764915328997289
shape_plant,-0.17476865455025087
color_grey,-0.1626822083892236
shape_tree,-0.1498487208510209
shape_rectangular,-0.13993780519382892
primary_concept_wall,-0.12060646755491752
shape_circle,-0.08645073764716663
color_blue,-0.08508088099755806
color_beige,-0.0713471591137759
primary_concept_ant,-0.029712370498105378
primary_concept_text,-0.01885358666666656
primary_concept_pipe,-0.0188535866666657
color_white,-0.012735816524390153
primary_concept_trash_bag,-0.008604800498104581
primary_concept_animal,-0.0032614175742702867
shape_trapezoidal,-0.0022273095629160578
