treatment,score
color_silver,0.34596043772678753
primary_concept_knife,0.3014175309217597
primary_concept_fork,0.2834008561256165
primary_concept_knife_handle,0.21480296315093644
color_bollywood,0.16530424371555597
primary_concept_photo,0.15858626360166328
shape_semicircle,0.09694913017560425
color_violet,0.09694913017560369
primary_concept_background,0.023792268045908005
color_white,0.006351374187968939
primary_concept_spoon,-0.4082307744643439
color_olivedrab,-0.35481749152557124
color_olive,-0.3539143555836587
color_brown,-0.2977007263751062
primary_concept_spatula,-0.265703663613436
primary_concept_guitar,-0.23022899921330336
shape_cylinder,-0.1844991289872931
color_yellow,-0.17291565726758737
color_gray,-0.14891039477376586
shape_fork,-0.1489103947737655
shape_long,-0.13823064791768336
color_black,-0.12150599431415046
shape_square,-0.11121538731746336
primary_concept_paper,-0.1001383468280404
color_purple,-0.08785072305017061
shape_rectangular,-0.08290090885058116
shape_circle,-0.08290090885058041
color_blue,-0.06962603634696674
color_green,-0.05168837240656643
color_gold,-0.051282191835600066
shape_trapezoidal,-0.04096721622613553
shape_straight,-0.03374872807613549
shape_round,-0.03374872807613544
shape_triangle,-0.02664286570392943
color_golden,-0.025692717941334986
color_red,-0.020536680608992497
shape_rectangle,-0.0058956275929542
shape_oval,-0.0023021763025441455
