treatment,score
color_brown,0.5210219093359745
primary_concept_spatula,0.500457805328357
color_black,0.33837527111838256
primary_concept_paper,0.3015953232570591
primary_concept_guitar,0.2650445325947851
color_yellow,0.22840703520292616
color_purple,0.1945483783835658
shape_square,0.19327713157353965
color_white,0.1747025885331202
shape_oval,0.13804944573446332
shape_fork,0.13576036278379117
color_gray,0.13576036278379067
color_red,0.12694202176592018
color_gold,0.11823238905717198
color_blue,0.11311992430242146
shape_long,0.09149428989272945
shape_rectangular,0.06919282179015734
shape_circle,0.06919282179015518
primary_concept_background,0.041897558353021724
shape_cylinder,0.03839770158186245
color_green,0.02483163393326321
primary_concept_photo,-0.33661720636707737
color_silver,-0.30516798244938326
shape_rectangle,-0.12928079000027032
primary_concept_knife,-0.11102562187347242
primary_concept_spoon,-0.0934650116015196
primary_concept_knife_handle,-0.08538395057561127
color_olive,-0.08210974262683884
color_olivedrab,-0.08066844514309024
primary_concept_fork,-0.06426066988467394
color_bollywood,-0.043915558516686104
shape_triangle,-0.008303304690135072
shape_straight,-0.004931388144088444
shape_round,-0.004931388144087945
shape_trapezoidal,-0.0046050753340879935
color_golden,-0.0032073196175545493
shape_semicircle,-0.003046718936525694
color_violet,-0.003046718936525472
