treatment,score
primary_concept_spoon,0.5977189978327198
color_olive,0.4360240974919551
color_olivedrab,0.435485935433133
primary_concept_photo,0.22083815120879963
shape_rectangle,0.16314392826571744
shape_cylinder,0.14610139229852537
shape_long,0.04673636397450576
shape_trapezoidal,0.045572281789833025
color_green,0.043710684882229955
shape_round,0.03868008178983201
shape_straight,0.03868008178983123
shape_triangle,0.03494616024475544
primary_concept_background,0.030307170045731135
color_silver,0.029450166639020225
color_golden,0.0289000323686458
shape_rectangular,0.01370814185011271
shape_circle,0.013708141850112598
color_gray,0.01315001558351292
shape_fork,0.013150015583512864
primary_concept_guitar,0.01079772608380708
color_brown,-0.22332112014655467
color_black,-0.21123993036337652
primary_concept_fork,-0.20439099709483008
color_white,-0.18105394607414155
primary_concept_paper,-0.1610141981523795
primary_concept_spatula,-0.14150465287384292
shape_oval,-0.13574726234931347
primary_concept_knife,-0.12944600479968543
color_purple,-0.10669766366571856
color_red,-0.10640528037895447
color_violet,-0.09390239664319502
shape_semicircle,-0.09390239664319497
color_bollywood,-0.08514916921151239
shape_square,-0.08206171764698694
primary_concept_knife_handle,-0.07442140731268088
color_gold,-0.06695016476733368
color_yellow,-0.045138381730361776
color_blue,-0.04349388445960278
