treatment,score
primary_concept_teaspoon,0.6357373078455812
primary_concept_fork,0.5861170693779272
primary_concept_spoon,0.5816303651917959
color_green,0.5570699382845363
primary_concept_knife,0.48324933361787
primary_concept_tablespoon,0.47913279861787067
color_yellow,0.3756786359812284
primary_concept_butter_knife,0.3334911689871016
primary_concept_spatula,0.246348820934991
primary_concept_fish_knife,0.20292286861787
color_red,0.20190703081017736
color_black,0.19915777053862405
color_bronze,0.1824636027327326
shape_square,0.15916597487179485
color_brown,0.12461046985817137
shape_oval,0.12096205082206057
shape_teaspoon,0.11388560745224718
shape_triangular,0.10831577021649669
color_golden,0.08906457983062682
color_grey,0.0884234700290698
shape_rectangle,0.07537419152418845
color_blue,0.07086395361787096
shape_round,0.06806740678457257
shape_rectangular,0.0362891760540639
shape_spatula,0.0015081530355813833
color_silver,-0.5301871952845374
primary_concept_background,-0.3401412059935901
color_lightbronze,-0.15449824252307787
color_gold,-0.15208474342111378
primary_concept_guitar_keychain,-0.06806113311538503
shape_long,-0.013053952808306013
shape_cylindrical,-0.006834366018340143
color_aquamarine,-0.003277427433648228
