treatment,score
primary_concept_background,None
color_green,None
color_silver,None
color_grey,0.22604926110205503
shape_rectangular,0.14353593360817885
primary_concept_tablespoon,0.11334533394746159
color_khaki,0.10002724193363453
color_olive,0.07899225169746125
primary_concept_label,0.046964304262047576
shape_linear,0.04061335348794766
primary_concept_spoon,0.028575588671963734
shape_parallelogram,0.027637819727198962
shape_flat,0.024990917719190375
primary_concept_photo,0.02376971198990946
color_bollywood,0.019342657162429416
primary_concept_fork,0.01344459256769552
color_black,0.008498888216681655
shape_cylinder,0.0006088319544978738
color_steel,0.0002877931542855511
shape_square,-0.12738688433700213
color_white,-0.12010741203753765
color_red,-0.11943877790253879
primary_concept_butter_knife,-0.11943478077539568
primary_concept_knife,-0.11609761105950907
color_golden,-0.11485778830253883
color_blue,-0.10805010294384487
color_yellow,-0.10504808564386652
shape_line,-0.09876629962963437
color_darkgoldenrod,-0.08739802041374993
color_beige,-0.08638351441614671
primary_concept_spatula,-0.05909193588457735
color_goldenrod,-0.053903675523012215
color_cornstalk,-0.040638049663998296
shape_rectangle,-0.04063804966399816
shape_oval,-0.03905453667757731
primary_concept_backgroud,-0.03544474830253859
color_brown,-0.02712522693779583
color_darkviolet,-0.02612301491350926
color_aquamarine,-0.02407787069521327
shape_round,-0.024077870695213152
shape_spatula,-0.02183786610349773
primary_concept_shadow,-0.013327348302538691
color_cyan,-0.005312769251270791
shape_long,-0.005312769251270777
