treatment,score
shape_splotches,0.6640631296535107
primary_concept_grass,0.6234920796535103
primary_concept_gravel_road,0.62349207965351
primary_concept_ant,0.6211106260201776
shape_round,0.4998945189904378
shape_leaf_blade,0.4853359796535109
shape_opening_of_the_can,0.3028656434593763
shape_square,0.2905104228535028
shape_oval,0.16174015445350987
primary_concept_can,0.06797443580653423
color_skin,0.008467889897259717
primary_concept_basket,-0.4408490618591036
color_transplant,-0.32987212097148955
primary_concept_backpack,-0.32984246171348935
shape_rectangle,-0.3283788193464892
primary_concept_fingers,-0.328265914147858
shape_long,-0.32330766754460877
shape_circus,-0.3231848483464895
primary_concept_ground,-0.3101125033464895
primary_concept_bee,-0.30356179956887236
shape_circle,-0.29021519307406207
color_white,-0.2843721676610869
primary_concept_bicycle_bidon,-0.2835690903464896
primary_concept_bicycle,-0.24679056034649022
primary_concept_cups,-0.17524434221975685
primary_concept_flip_flop,-0.164009555978194
shape_crescent,-0.13883318193009905
primary_concept_background,-0.13500636903548907
primary_concept_ant_statue,-0.13064738863475603
primary_concept_drinking_fountain,-0.12959469534927728
primary_concept_glass_jar,-0.08653185424056611
color_red,-0.07920930889535069
color_silver,-0.07694016629232267
color_yellow,-0.03801100794584664
