treatment,score
color_transplant,0.8413034504252768
shape_rectangle,0.840164350425278
primary_concept_backpack,0.8339248504252765
primary_concept_fingers,0.8333633341650027
primary_concept_bee,0.791255948781441
primary_concept_ground,0.7818247904252776
primary_concept_bicycle_bidon,0.7681638804252775
primary_concept_glass_jar,0.5173513487561293
primary_concept_drinking_fountain,0.44758109235947546
primary_concept_flip_flop,0.40128607787139947
primary_concept_background,0.38828542397054666
shape_circle,0.38473760024021636
color_red,0.19344563953270794
primary_concept_can,0.1856190824379378
color_silver,0.020911155065860332
color_skin,-0.5100762195205467
shape_opening_of_the_can,-0.19767023847276483
shape_circus,-0.15746578124472269
shape_splotches,-0.1554117088747234
primary_concept_ant,-0.1543524311903082
color_white,-0.14094947954621687
primary_concept_grass,-0.13119102957472223
primary_concept_gravel_road,-0.13119102957472187
primary_concept_bicycle,-0.13077520457472294
primary_concept_ant_statue,-0.10447825092381224
shape_crescent,-0.10338131675460621
shape_square,-0.10169511128779046
primary_concept_cups,-0.09258902974058342
shape_oval,-0.07611503257472318
primary_concept_basket,-0.07549760105050901
shape_leaf_blade,-0.07473192957472352
shape_round,-0.02651876046107504
shape_long,-0.017050160908537115
color_yellow,-0.010112557969873093
