treatment,score
primary_concept_basket,0.50368997229271
color_skin,0.5016082587328767
shape_crescent,0.5001793952054818
primary_concept_ant_statue,0.4938500268493164
shape_circus,0.45408565623969827
color_white,0.38733846579528697
color_yellow,0.2707496912625746
primary_concept_cups,0.20507751969570398
shape_opening_of_the_can,0.08318605765398446
shape_rectangle,-0.5383504207603005
color_transplant,-0.5379963164903013
shape_splotches,-0.5352163254603013
primary_concept_fingers,-0.5316623106438658
primary_concept_backpack,-0.5306474157603007
primary_concept_bee,-0.5259702502670722
primary_concept_grass,-0.5188661537603012
primary_concept_gravel_road,-0.518866153760301
primary_concept_bicycle_bidon,-0.5111598267603019
primary_concept_ant,-0.48172226513919114
color_silver,-0.4802328889161105
shape_round,-0.4752872827350277
primary_concept_glass_jar,-0.4313774605000593
primary_concept_background,-0.2798440442603011
shape_circle,-0.23093950613089456
shape_square,-0.21538029182790155
primary_concept_can,-0.16377367400347384
shape_oval,-0.11219006851030189
primary_concept_cup,-0.02302330906345379
