treatment,score
primary_concept_knife,0.8425684358844472
color_purple,0.8293933960515503
color_black,0.761389442469897
primary_concept_fork,0.6201684820806452
primary_concept_background,0.49957873430839206
color_silver,0.32326294949046164
color_azure,0.2746764726672511
color_grey,0.19010260010644633
shape_spatula-shaped,0.18353374179209442
color_gold,0.11779190184520272
color_blue,0.11744159376265087
shape_middle part,0.11483558587968828
shape_scalene triangle,0.10393716121773916
color_green,0.07931831473282872
color_aqua,0.07917852459752428
shape_handle,0.055063859513955704
color_red,0.0496170195471089
color_gray,0.026551231144385012
shape_knife,0.024453355451950876
color_steel,0.01759238322972917
shape_edge,0.01759238322972878
primary_concept_spoon,-0.45158752424362925
primary_concept_wire,-0.3192618131378808
primary_concept_string,-0.30194434712399226
shape_square,-0.18423221949100133
shape_spoon,-0.13776722808961345
shape_bowl and neck,-0.12566541840235543
primary_concept_teaspoon,-0.11689386879763083
shape_flat,-0.1133089383048036
shape_long,-0.11007192501043875
color_white,-0.0986252709661925
primary_concept_spatula,-0.09108506877533398
color_bollywood,-0.08391765768304174
color_plum,-0.08032431851304167
primary_concept_bulb,-0.07474992191616461
primary_concept_pasta_server,-0.07460729443751776
color_olive,-0.07169570091304217
shape_rectangle,-0.04300277805920236
color_yellow,-0.029593932899531744
