treatment,score
color_bollywood,0.8241054645471668
primary_concept_spatula,0.792727148552956
shape_rectangle,0.3478040382338026
primary_concept_pasta_server,0.3471403983526588
color_green,0.32773969027535854
color_red,0.18747626879701257
primary_concept_background,0.1217653786793535
shape_handle,0.07647008313758069
primary_concept_spoon,0.06913867058295381
shape_square,0.0687247182379685
shape_long,0.0567174850257301
shape_scalene triangle,0.04848817298888214
shape_flat,0.027409618159340565
shape_edge,0.017871850003747247
color_steel,0.01787185000374708
primary_concept_bulb,0.01432634937473809
color_gray,0.011626986253746696
shape_knife,0.011626986253746585
color_grey,0.009174935119085015
color_azure,0.0017401240678682206
color_gold,0.00038586974232857063
color_plum,-0.19189258948480029
color_olive,-0.19186417131118885
color_silver,-0.18967653804984513
color_purple,-0.18182219935074317
color_yellow,-0.1750075074458579
shape_middle part,-0.13005037596260785
primary_concept_wire,-0.11341805087561399
primary_concept_teaspoon,-0.09998365211906693
color_blue,-0.08556895695778871
color_black,-0.07431742620990198
primary_concept_knife,-0.06699881863063958
color_white,-0.057467897193841405
color_aqua,-0.05049943015906924
primary_concept_string,-0.032317514260451985
primary_concept_fork,-0.030837060236656777
shape_spatula-shaped,-0.024617226716340784
shape_spoon,-0.009914646873482535
shape_bowl and neck,-0.008880916820398654
