treatment,score
primary_concept_spoon,0.37670638447431093
primary_concept_wire,0.3683579325541669
primary_concept_teaspoon,0.35695393731107045
primary_concept_string,0.33426184915409046
color_plum,0.32848971061294496
color_olive,0.32240932825183405
color_green,0.2526230801421778
color_yellow,0.21151369661132619
shape_square,0.10390035309193935
shape_flat,0.09708928718536314
primary_concept_bulb,0.06042355058112703
shape_long,0.047165914404215636
color_white,0.028290999991196053
shape_spoon,0.024966958105525794
shape_middle part,0.02214927590467136
shape_bowl and neck,0.013431266700119238
primary_concept_knife,-0.5855573441098264
primary_concept_fork,-0.5735615938785467
primary_concept_spatula,-0.5640610202061987
primary_concept_background,-0.4603840065634126
color_purple,-0.33460872904998296
shape_rectangle,-0.3283961765135478
primary_concept_pasta_server,-0.22476562449561882
color_red,-0.2200730383413841
color_grey,-0.17278407655565847
shape_spatula-shaped,-0.13826156052613264
color_bollywood,-0.12315374636745313
color_black,-0.12122730524360825
color_gold,-0.11149792553333199
shape_scalene triangle,-0.11064872112377083
shape_handle,-0.09722202477296665
color_azure,-0.09157201858160718
color_blue,-0.08499355527688046
color_aqua,-0.06620979134188876
color_silver,-0.049742519995671364
color_gray,-0.03686677650974857
shape_knife,-0.03686677650974818
shape_edge,-0.036250695287526724
color_steel,-0.03625069528752639
