treatment,score
primary_concept_knife,0.32898308210723815
color_grey,0.2986855677967597
color_black,0.25356415525484566
primary_concept_fork,0.2425301483845881
primary_concept_background,0.2262541604075662
shape_curve,0.20802187430739588
color_goldenrod,0.18899200997591023
shape_semicircle,0.16140422105452368
color_yellow,0.12728637984421778
shape_oval,0.03945975349721634
shape_fork shape,0.03248934071704862
primary_concept_cake_lifter,0.030605596234865
shape_square,0.028710248862630933
color_olive,0.026301438443793818
primary_concept_butter_knife,0.01111715384886866
color_white,0.0019164137186505614
primary_concept_guitar,-0.2614086577542614
primary_concept_spatula,-0.25481098830429916
color_bollywood,-0.2097992175601332
color_red,-0.20127834564462377
color_green,-0.18989493723706533
shape_rectangular,-0.14084597971248233
primary_concept_teaspoon,-0.09788994496513508
primary_concept_kitchen_spoon,-0.0731408356698971
color_gold,-0.07301847799255892
shape_rectangle,-0.07262265175958536
primary_concept_spoon,-0.05626114044600228
color_blue,-0.03210384853998008
color_cornstalk,-0.02742202735417054
color_silver,-0.02469709437365275
color_darkgoldenrod,-0.014633767650577806
shape_spoon,-0.014013159128552277
shape_parallelogram,-0.005414016719157588
primary_concept_utensil,-0.003918279551314047
