treatment,score
primary_concept_spoon,0.5495001596566
color_green,0.33352301986698435
primary_concept_teaspoon,0.30476768485151595
color_red,0.29049765920959914
color_bollywood,0.23382645037025263
color_olive,0.1925789102562595
shape_rectangular,0.18830055303968218
shape_rectangle,0.10509374152677742
shape_square,0.09192517830671654
color_gold,0.08028234173048199
primary_concept_butter_knife,0.07834610465435288
primary_concept_cake_lifter,0.06607487056580164
shape_parallelogram,0.05760950927171715
color_blue,0.03226064511949611
shape_oval,0.025961073775581434
primary_concept_background,-0.6230229283286185
color_yellow,-0.3623773148782663
primary_concept_spatula,-0.3194171116651725
primary_concept_kitchen_spoon,-0.30703329467229246
primary_concept_knife,-0.3044399708135483
color_goldenrod,-0.30332428408314804
color_grey,-0.2707239874644387
primary_concept_guitar,-0.21612283112793695
shape_curve,-0.19581260238575815
primary_concept_utensil,-0.19027491245641992
color_silver,-0.11505502594081396
primary_concept_fork,-0.05862413974560615
color_cornstalk,-0.05500323244940375
shape_fork shape,-0.013402932943066381
shape_semicircle,-0.0053860048181476605
color_white,-0.004311257142857183
shape_spoon,-0.0015367662477725474
color_darkgoldenrod,-0.0013719933906289894
color_black,-0.0011259552595769273
