treatment,score
primary_concept_legs_of_dog,0.8990811902157336
primary_concept_top-left_of_tree,0.2181546089970685
primary_concept_head_of_grasshopper,0.1780258089970681
primary_concept_mantis,0.15647678287148464
primary_concept_tree,0.1400802061179815
color_gold,0.1264695574069743
primary_concept_onesie_of_storage_box,0.07210929836914742
primary_concept_insect,0.04686955521573394
primary_concept_window,0.007012760745320479
primary_concept_ant,-1.0275138359366962
primary_concept_outercircle_of_wheel,-1.0200182662700286
primary_concept_middle_of_wheel,-1.0199302913983779
primary_concept_camera,-0.9910391713983786
primary_concept_middle_of_bicycle,-0.9720327698600602
primary_concept_middle_of_notebook,-0.9533089388600602
primary_concept_plastic_box,-0.9533089388600593
primary_concept_text,-0.9407270728600621
primary_concept_bottle,-0.9407270728600605
primary_concept_pipe,-0.9407270728600597
primary_concept_bee,-0.9289033129366956
primary_concept_top_of_bee,-0.8942372132700283
primary_concept_wall,-0.8735341106035015
primary_concept_trash_bag,-0.8583411599366912
primary_concept_head_of_bottle,-0.8536650868600606
primary_concept_bottle_cap,-0.8306463200960104
primary_concept_branding_paper,-0.8306463200960088
primary_concept_pile,-0.806341148346942
primary_concept_sign,-0.7892243476292196
primary_concept_water_background,-0.7725890940960065
primary_concept_seal,-0.7134417538820209
primary_concept_note,-0.6932100468600609
primary_concept_photo_of_kid,-0.69321004686006
primary_concept_bottom_of_furniture,-0.6844369938820194
primary_concept_rope,-0.6743347168600604
primary_concept_scales_of_animal,-0.6544225523469432
primary_concept_ants,-0.60232630388202
primary_concept_background,-0.5545440906425485
primary_concept_body_of_ants,-0.5524174938820211
color_beige,-0.46162840313919284
primary_concept_tail_of_ants,-0.44334365712851154
primary_concept_top_of_box,-0.4277377184300313
color_silver,-0.42773771843002867
color_pink,-0.42683254343003113
primary_concept_top_of_finger,-0.42683254343002963
color_blue,-0.3748208383909698
primary_concept_bottom_of_leaf,-0.3598983565912002
color_yellow,-0.3435864956057332
color_orange,-0.33063223354033966
color_chocolate,-0.3273177756113218
primary_concept_top-left_of_pump,-0.2119963199366932
primary_concept_pen,-0.18691521916753573
primary_concept_praying_mantis,-0.1834896083983779
color_green,-0.16730185433689965
primary_concept_buildings,-0.13622125234694082
color_light,-0.13206478622037932
primary_concept_glass_of_window,-0.12182514686006235
primary_concept_hand,-0.12182514686006068
primary_concept_reflection_of_glass,-0.12182514686005952
primary_concept_toiletpaper_of_toiletpaper,-0.10888753686006086
color_white,-0.10186747821951203
color_black,-0.09717015390234385
color_dark,-0.0884477222327199
primary_concept_bottom-right-corner_of_pump,-0.057986522346943736
color_grey,-0.03620646361481028
color_brown,-0.03548645037044473
primary_concept_grasshopper,-0.03532863754947041
color_clear,-0.013468283414633742
color_red,-0.009964135701854171
