treatment,score
primary_concept_paper,0.6902295305819744
primary_concept_spatula,0.6589394215935276
primary_concept_head_of_spatula,0.4497122022601653
primary_concept_side_of_spatula,0.4433133213769695
primary_concept_shade_of_spatula,0.4408554383586265
color_brown,0.37296083587617435
color_purple,0.2998884232844233
color_black,0.2924855769710127
primary_concept_guitar,0.28426152529411736
color_blue,0.2711125097649587
color_gray,0.25313089953653944
color_yellow,0.16009775145755573
color_red,0.10169568548826546
color_green,0.096968439036557
color_white,0.09650435539289565
primary_concept_top_of_fork,0.09483823012333431
color_gold,0.08944369426559906
primary_concept_background,0.02749639034399165
primary_concept_spikes_of_fork,0.02382477275393996
primary_concept_tail_of_fork,0.02382477275393846
color_violet,0.015387648753939609
primary_concept_handle_of_knife,0.015007510517958456
primary_concept_top-left_of_spoon,-0.28414551050702175
primary_concept_background_of_photo,-0.17174326157563802
color_olive,-0.1555599866434949
color_olivedrab,-0.15413488351349516
color_silver,-0.11041036744941735
primary_concept_handle_of_spoon,-0.10081980461939044
primary_concept_head_of_knife,-0.09724694954605867
primary_concept_head_of_spoon,-0.09336403292247669
color_golden,-0.09033043004554708
primary_concept_spoon,-0.06965098582758511
primary_concept_fork,-0.06362286458156408
primary_concept_knife,-0.049711342579390916
primary_concept_knife_handle,-0.02572244277440272
color_bollywood,-0.025722442774401943
