treatment,score
color_black,0.6395875015525873
color_lightbronze,0.3179473663846162
color_silver,0.16788757650564087
primary_concept_knife,0.1456434110179768
primary_concept_light_reflections_of_background,0.11873794297460039
primary_concept_butter_knife,0.07406500136553892
color_red,0.050575845193700536
primary_concept_background,0.03208171682473904
color_golden,0.01925139276923049
color_gold,0.010859132702246865
primary_concept_bottom_of_spatula,-0.3008793136852364
primary_concept_middle_of_the_handle_of_spatula,-0.23403055954872748
primary_concept_handle_of_spatula,-0.22651206867545742
color_brown,-0.19089590397579284
primary_concept_spatula,-0.17833298086194463
color_green,-0.1754286167103315
primary_concept_fork,-0.14077263500893855
primary_concept_light_reflections_of_spoon,-0.12134333808971545
primary_concept_texture_of_background,-0.11586834769981252
primary_concept_handle_of_fork,-0.11251419655125364
primary_concept_head_of_spoon,-0.0969511529558864
primary_concept_guitar_keychain,-0.09028784660000023
color_grey,-0.06388469591726256
primary_concept_tablespoon,-0.06384669769981247
primary_concept_fish_knife,-0.06063212523333661
primary_concept_tail_of_teaspoon,-0.05921967605224422
color_aquamarine,-0.05921967605224422
color_bronze,-0.05417441255467674
primary_concept_teaspoon,-0.05137354274129488
color_blue,-0.04469813295471932
color_yellow,-0.03609440236025835
primary_concept_spoon,-0.031254445620467905
