treatment,score
primary_concept_spatula,0.37749282013541113
primary_concept_handle_of_spatula,0.37376312050851146
color_blue,0.32226304906244274
primary_concept_bottom_of_spatula,0.301507497874213
primary_concept_middle_of_the_handle_of_spatula,0.3015074978742129
color_gold,0.17407948101376503
color_red,0.1727270358474829
primary_concept_guitar_keychain,0.15834894930769222
color_grey,0.1368722387882157
primary_concept_fish_knife,0.11529969521889677
primary_concept_background,0.05906112429821264
primary_concept_handle_of_fork,0.03575947368043536
color_silver,0.020488232922878713
primary_concept_tablespoon,0.010512361680435733
primary_concept_teaspoon,-0.261779307702433
primary_concept_texture_of_background,-0.25184180661230043
primary_concept_head_of_teaspoon,-0.25101235333494815
primary_concept_knife,-0.22404630078110366
color_brown,-0.18499694183461443
primary_concept_light_reflections_of_spoon,-0.1694601749349493
color_lightbronze,-0.1634490902461537
primary_concept_light_reflections_of_background,-0.15508038949112546
color_aquamarine,-0.132868178625702
primary_concept_tail_of_teaspoon,-0.12011590501756064
primary_concept_middle_of_background,-0.11552529612578677
primary_concept_spoon,-0.09837294269004099
primary_concept_handle_of_spoon,-0.09606136954848121
color_golden,-0.09525426823076971
color_black,-0.07983963519686371
color_bronze,-0.07759270996315837
color_yellow,-0.07730494830371182
primary_concept_butter_knife,-0.056641803577353766
primary_concept_fork,-0.039913048395958106
primary_concept_head_of_spoon,-0.03864460063533015
color_green,-0.02649746022953764
