treatment,score
primary_concept_head_of_teaspoon,0.6372802007032341
primary_concept_light_reflections_of_spoon,0.5217527785493892
primary_concept_spoon,0.5118304029661948
primary_concept_head_of_spoon,0.43886925076911715
primary_concept_handle_of_spoon,0.38860119519975134
primary_concept_teaspoon,0.38842587049063193
primary_concept_fork,0.3643381253579478
primary_concept_texture_of_background,0.3254152802513672
primary_concept_knife,0.3093521843955436
primary_concept_handle_of_fork,0.3077040019340043
primary_concept_tablespoon,0.30656560685708006
color_green,0.29349642514700375
primary_concept_tail_of_teaspoon,0.2786225294132418
color_brown,0.19741929316092582
color_aquamarine,0.1777726382389242
primary_concept_light_reflections_of_background,0.17038082863905363
primary_concept_butter_knife,0.16622926434137003
color_bronze,0.13249236427235955
color_yellow,0.11969158773938732
primary_concept_fish_knife,0.11959273116477348
primary_concept_handle_of_spatula,0.07960395656398073
color_golden,0.07600286130769174
primary_concept_bottom_of_spatula,0.039988919868999606
primary_concept_middle_of_the_handle_of_spatula,0.03998891986899811
primary_concept_middle_of_background,0.014390807253615023
color_silver,-0.3753157384979427
color_blue,-0.2712726616759982
color_black,-0.24390699878188335
color_red,-0.2245547761299041
primary_concept_background,-0.19547855542003678
color_gold,-0.18421340341994735
color_lightbronze,-0.1544982425230768
color_grey,-0.07288669204151038
primary_concept_guitar_keychain,-0.06806113311538481
primary_concept_spatula,-0.00594984137878074
