treatment,score
primary_concept_top_of_spatula,0.27368168323276965
primary_concept_top_of_spoon,0.21779709594828078
primary_concept_knife,0.19519462755807981
color_blue,0.18584057960244216
primary_concept_shadow,0.18339166488039627
primary_concept_background,0.16832138578849498
primary_concept_spatula,0.15766529266706508
primary_concept_middle_of_knife,0.15761865672250996
color_goldenrod,0.14007504963947504
primary_concept_butter_knife,0.1379645641742353
primary_concept_backgroud,0.1363554476877974
primary_concept_middle_of_background,0.13275201853205243
primary_concept_fork,0.12923325853205225
color_red,0.12900480208098464
primary_concept_tail_of_spatula,0.12844789192119654
primary_concept_left_of_background,0.12290022853680804
color_yellow,0.1218635303798209
primary_concept_bottom_of_spatula,0.11699592277299686
primary_concept_label,0.11652171139395107
color_white,0.11409126600874653
color_cornstalk,0.10815304337869813
primary_concept_head_of_spatula,0.10482708912918182
color_darkgoldenrod,0.10466410337869825
primary_concept_head_of_spoon,0.10286546778231576
primary_concept_spoon,0.0942659019899772
primary_concept_handle_of_spoon,0.09257795562528448
color_brown,0.092530473854889
color_green,0.08910671289098437
color_black,0.08887151460653808
primary_concept_copyright_of_spoon,0.08789810914950968
primary_concept_top_of_knife,0.0821183238548886
color_bollywood,0.08211832385488815
primary_concept_head_of_knife,0.07134376463973713
primary_concept_bottom_of_knife,0.0713437646397368
color_golden,0.06287410452336195
primary_concept_border_of_spoon,0.058444013813103934
primary_concept_background_of_photo,0.054267608181818305
color_silver,0.04733583305040168
primary_concept_background_of_knife,0.02089279119548826
color_darkviolet,0.0207671486885318
color_steel,-0.29826435600000334
primary_concept_bottom_of_background,-0.28403818680451
color_khaki,-0.27821563676723093
primary_concept_bottom_of_fork,-0.21456012057626206
color_beige,-0.16151715771428576
color_cyan,-0.1363221370257539
color_grey,-0.09770005378201785
primary_concept_tablespoon,-0.07626666676723082
color_aquamarine,-0.04360855261982599
color_olive,-0.015451390347586802
