treatment,score
primary_concept_bottom_of_fork,0.3941380289879213
color_steel,0.29797657009714285
primary_concept_bottom_of_background,0.21237867617730904
color_beige,0.19245987771428585
color_cyan,0.18089784487216476
color_khaki,0.13816287472307315
primary_concept_tablespoon,0.12555871953792103
color_aquamarine,0.10527712444942296
primary_concept_butter_knife,0.09448629157053635
primary_concept_handle_of_spoon,0.09346907384272424
primary_concept_middle_of_spatula,0.08992119670949521
color_grey,0.07329810305000278
primary_concept_head_of_spoon,0.07280418759248311
primary_concept_spoon,0.06933842014133663
primary_concept_middle_of_knife,0.058349067595064336
primary_concept_spatula,0.05808266930473126
primary_concept_top_of_spatula,0.05029344301649351
primary_concept_knife,0.04790160537647817
primary_concept_copyright_of_spoon,0.04733019849319173
color_darkviolet,0.03829067401502173
primary_concept_handle_of_fork,0.02245925810292168
primary_concept_head_of_fork,0.022459258102921376
primary_concept_background_of_knife,0.006789720077309061
color_yellow,0.006121809575857312
color_golden,0.0007948987888539844
primary_concept_top_of_spoon,-0.127574259043094
color_silver,-0.10601025152286556
primary_concept_border_of_spoon,-0.08519379456880823
primary_concept_backgroud,-0.07383767003046386
primary_concept_tail_of_spatula,-0.05599504629305678
primary_concept_shadow,-0.05276832673735189
color_green,-0.051248511093132124
primary_concept_label,-0.04876148539688598
color_red,-0.04761212614579412
primary_concept_middle_of_background,-0.03765603111705708
primary_concept_top_of_knife,-0.03746449177978639
primary_concept_fork,-0.036824225904171067
color_blue,-0.03171277992920551
color_olive,-0.029301384197936813
color_white,-0.026946632624868197
primary_concept_background_of_photo,-0.02491972598226483
primary_concept_bottom_of_spatula,-0.02257811256583142
color_goldenrod,-0.022067714129536384
primary_concept_bottom_of_knife,-0.021715727681841837
primary_concept_head_of_knife,-0.021715727681841684
color_cornstalk,-0.01648949175096144
color_bollywood,-0.016298502655969938
color_darkgoldenrod,-0.015660076096285322
primary_concept_head_of_spatula,-0.00910933674502469
primary_concept_left_of_background,-0.008468589825457243
primary_concept_background,-0.007520280883315231
color_black,-0.006705413149150546
color_brown,-0.0014548881050823609
