treatment,score
primary_concept_bottom_of_petri_dish,0.4548127610145853
primary_concept_copyright_of_petri_dish,0.4073932497145677
primary_concept_bottom_right_of_grass,0.39379156786525227
primary_concept_ant,0.3877853725071513
color_maroon,0.27996411550620764
color_gray,0.09459974679205158
primary_concept_gravel_road,0.09459974679205085
color_transplant,-0.6734000851187925
color_red,-0.669297841943794
color_grey,-0.6612253139626515
color_orange,-0.658737843501547
color_yellow,-0.6572364659679619
color_plum,-0.6089699271169859
color_black,-0.514119336049311
color_blue,-0.47252318612634325
color_green,-0.40482142447348907
primary_concept_fingers,-0.3545061647648126
color_silver,-0.3497603869253005
color_white,-0.3437191412768982
color_darkgoldenrod,-0.3170817664493206
primary_concept_background_of_photo,-0.27815516780856253
primary_concept_ground,-0.27048506842911063
primary_concept_backpack,-0.2275315594232816
color_lightgray,-0.2275315594232816
primary_concept_basket,-0.22271932578329068
color_cornstalk,-0.22271932578329062
primary_concept_bottom_of_glass_jar,-0.1742789548324211
primary_concept_ant_statue,-0.16231718822602653
primary_concept_branches_of_tree,-0.144815727567626
primary_concept_bee,-0.10362392823474473
primary_concept_bicycle_bidon,-0.08573442257095892
primary_concept_background,-0.08534856628711521
color_skin,-0.07685718542203887
color_brown,-0.0717177090252265
primary_concept_bell_of_bicycle,-0.06558180339287661
primary_concept_cups,-0.03108219880543117
