treatment,score
color_black,0.6500099534078703
primary_concept_background,0.6449125347661434
color_purple,0.5318264034342903
color_steel,0.28317054715444756
color_azure,0.2608924620555033
color_white,0.23737114064818265
color_silver,0.2226088298069559
color_aqua,0.15131830507709523
primary_concept_middle_of_fork,0.12098196503826181
primary_concept_edge_of_knife,0.11436811083033938
primary_concept_fork,0.10091581992373924
primary_concept_knife,0.09575769131888784
color_gold,0.057944233484029384
color_red,0.046838013717925675
color_gray,0.03548297827052904
color_grey,0.021896344982944127
primary_concept_handle_of_spatula,-0.7876956372577133
primary_concept_spoon,-0.7321579963604263
primary_concept_spatula,-0.6990651586025941
primary_concept_head_of_spatula,-0.6416676084378615
primary_concept_light_reflection_of_spoon,-0.5720203196498833
primary_concept_teaspoon,-0.5118635349942982
color_green,-0.5052395452567124
primary_concept_wire,-0.5008939290646102
primary_concept_spoon_light_reflection_of_spoon,-0.49776900632116516
primary_concept_top_of_spatula,-0.49517059395754415
primary_concept_string,-0.4835764630507207
primary_concept_pasta_server,-0.454989538755729
color_bollywood,-0.14439576791956563
color_yellow,-0.14213843316858976
color_plum,-0.14197525472866246
color_olive,-0.13616292203977326
primary_concept_middle_of_background,-0.11505053706815027
primary_concept_textures_of_background,-0.10350487232940556
primary_concept_light_gradient_of_background,-0.10350487232939962
primary_concept_textura/line_of_background,-0.10307679567662273
primary_concept_top_of_fork,-0.01086418001560252
primary_concept_top-left_of_knife,-0.010517197793385585
primary_concept_bulb,-0.0006718213333348766
color_blue,-0.0005990389936636475
