treatment,score
primary_concept_handle_of_spatula,0.6634334365998431
primary_concept_spatula,0.6442676443495021
primary_concept_head_of_spatula,0.5511586284601828
color_bollywood,0.46441871935919893
primary_concept_pasta_server,0.39665024547529704
primary_concept_top_of_spatula,0.33075127678570104
primary_concept_middle_of_background,0.3305390651764452
color_green,0.16208840993453527
color_grey,0.13810889394214204
color_red,0.09427179448182377
primary_concept_textures_of_background,-0.33194412972494247
primary_concept_light_gradient_of_background,-0.3319441297249419
primary_concept_textura/line_of_background,-0.33146658678062185
color_purple,-0.23960179955383515
color_yellow,-0.22849903068437075
color_plum,-0.20663082538455163
color_olive,-0.20660353268316223
primary_concept_fork,-0.2055429903842791
color_black,-0.18014479707953618
primary_concept_top_of_fork,-0.17586684951440273
primary_concept_knife,-0.15517117146332532
primary_concept_spoon,-0.14176590590605842
color_white,-0.13804909921453562
primary_concept_teaspoon,-0.13327198882553076
primary_concept_light_reflection_of_spoon,-0.11651662998764517
primary_concept_top-left_of_knife,-0.11303125748296003
primary_concept_spoon_light_reflection_of_spoon,-0.1104702568358335
primary_concept_string,-0.10896329583510608
color_azure,-0.10751420836361289
color_steel,-0.09995829559242508
primary_concept_bulb,-0.093990682663743
primary_concept_middle_of_fork,-0.08365383877613647
primary_concept_edge_of_knife,-0.07603455049556962
primary_concept_wire,-0.07550673988966186
color_silver,-0.06331895011627597
primary_concept_background,-0.0472630934417112
color_blue,-0.03291014064302608
color_aqua,-0.011762930664495186
color_gray,-0.0058664991426030655
color_gold,-0.005375624982485727
