treatment,score
primary_concept_spoon,0.5346892397205639
primary_concept_wire,0.43251623294715935
primary_concept_light_reflection_of_spoon,0.41836701533846815
primary_concept_teaspoon,0.3954260291168281
primary_concept_spoon_light_reflection_of_spoon,0.37774121817940587
color_yellow,0.3767138831054693
color_green,0.36016500214791103
primary_concept_string,0.3521831337397404
color_plum,0.3486060690136104
color_olive,0.34276649387472086
primary_concept_textures_of_background,0.1388578519271288
primary_concept_light_gradient_of_background,0.13885785192712857
primary_concept_textura/line_of_background,0.13794254182805454
color_blue,0.03208939065745481
primary_concept_middle_of_background,-0.5118204596658589
color_bollywood,-0.3200229619952279
color_purple,-0.29222458306016347
primary_concept_spatula,-0.27439376869765
primary_concept_handle_of_spatula,-0.26568524627414714
primary_concept_knife,-0.2519219287272074
primary_concept_head_of_spatula,-0.22458802157196184
primary_concept_top_of_fork,-0.21291584813781544
primary_concept_top_of_spatula,-0.20130041223862533
color_black,-0.18898650173419784
primary_concept_fork,-0.17496158582547588
color_steel,-0.1684109651207022
color_azure,-0.16745185169004578
primary_concept_pasta_server,-0.16675960226511383
primary_concept_edge_of_knife,-0.154457432096196
primary_concept_middle_of_fork,-0.15349027406470045
color_grey,-0.15120065731500454
primary_concept_bulb,-0.14063898679150677
color_red,-0.13255324241842403
primary_concept_top-left_of_knife,-0.12721390006079453
primary_concept_background,-0.10897547452225992
color_silver,-0.10855110864138762
color_white,-0.07963027007020435
color_gold,-0.0525685817274642
color_gray,-0.02961645270716745
color_aqua,-0.011144919215289262
