treatment,score
color_palegoldenrod,0.44673781212690206
color_black,0.26979552422970426
color_maroon,0.23588919737676078
color_lightbronze,0.2059301642959922
primary_concept_background_of_fork,0.20490564643628487
color_silver,0.20352033286247861
primary_concept_bottom_of_knife,0.19890108210402635
primary_concept_head_of_knife,0.19890108210402596
color_darkgray,0.18392199746733245
primary_concept_background_of_knife,0.18316369025571622
primary_concept_butter_knife,0.15311323504165217
color_brown,0.14167602084511977
color_grey,0.12188671594620738
primary_concept_knife,0.08591848450066185
primary_concept_background,0.08484190841884762
primary_concept_middle_of_background,0.04894808515208647
color_blue,0.04465036981359537
primary_concept_light_gradient_of_background,0.0006619441386828823
primary_concept_light_gradients_of_background,0.00020204102179051386
primary_concept_texture/line_of_background,0.0002020410217904861
color_olive,-0.3804821737424583
primary_concept_spatula,-0.27993155703427375
primary_concept_fork,-0.21219131719279538
primary_concept_textures_of_spatula,-0.200398246413513
primary_concept_texture_of_spatula,-0.1995106180807112
primary_concept_spoon,-0.18956629014285775
color_green,-0.17823576564574536
primary_concept_bottom_of_scraper,-0.1769904634905683
primary_concept_bottom_of_utensil,-0.1766037632419199
primary_concept_teaspoon,-0.17528821634732428
primary_concept_metal_drainer/spatula,-0.15359301431489308
primary_concept_middle_of_knif,-0.1444791175905363
primary_concept_light_reflections_of_fork,-0.14263515344773425
primary_concept_head_of_fork,-0.14213145052155854
primary_concept_bottom-right-corner_of_spatial,-0.12426793182089677
primary_concept_top_of_scraper,-0.12392311639116822
primary_concept_tail_of_fork,-0.1233111203614375
color_yellow,-0.11593675048016525
primary_concept_handle_of_fork,-0.08659253486455656
primary_concept_handle_of_knife,-0.0853877250623899
primary_concept_head_of_teaspoon,-0.08411697904588651
primary_concept_top_of_fork,-0.07021322882070674
color_red,-0.05266425526319679
color_gold,-0.018120725720360734
color_beige,-0.009558606328284869
color_aqua,-0.008299007206662906
color_white,-0.008062880858320617
color_gray,-0.0011853027182433667
color_golden,-0.0007704811672294837
color_bronze,-0.0005613161807436623
