treatment,score
primary_concept_spatula,0.4863266303780235
primary_concept_bottom_of_scraper,0.4194451473197698
primary_concept_metal_drainer/spatula,0.4074671792049692
primary_concept_light_reflections_of_fork,0.39374969505313795
primary_concept_bottom_of_utensil,0.3440759282657155
color_green,0.31955088325149567
primary_concept_fork,0.30258902639657037
primary_concept_tail_of_fork,0.2940213121589343
primary_concept_bottom-right-corner_of_spatial,0.27493421595965617
primary_concept_top_of_scraper,0.26929957873685784
primary_concept_middle_of_background,0.2532960159019199
primary_concept_light_gradient_of_background,0.24497375465800708
primary_concept_textures_of_spatula,0.24330760223594378
color_red,0.23889016444397
primary_concept_top_of_fork,0.2079301667285699
primary_concept_texture_of_spatula,0.2046597116223005
color_blue,0.20181306875084143
primary_concept_handle_of_fork,0.17060966533752892
color_white,0.09981734806578868
color_black,0.05000459871449864
color_aqua,0.02577541650296672
color_olive,0.022411172494720244
color_grey,-0.4861685664285541
color_palegoldenrod,-0.40783412050133194
color_yellow,-0.31226499074723435
primary_concept_background_of_fork,-0.25720261426888946
color_silver,-0.23410790202997261
primary_concept_spoon,-0.22925960736698692
color_brown,-0.22361891242905796
color_darkgray,-0.21144169934263057
color_beige,-0.1455155498300793
color_lightbronze,-0.1436108089517002
color_maroon,-0.13099536334359235
primary_concept_knife,-0.12544050933695317
color_gold,-0.11436721203593353
primary_concept_head_of_fork,-0.10915178186907021
primary_concept_butter_knife,-0.07392254627288858
primary_concept_handle_of_knife,-0.06603128703550037
primary_concept_background_of_knife,-0.061198346823330974
primary_concept_background,-0.05058674745390246
color_gray,-0.04693951474418906
color_golden,-0.04283373451013489
color_bronze,-0.04076294105067563
primary_concept_bottom_of_knife,-0.014773816193744627
