treatment,score
color_blue,0.34051434346910564
color_goldenrod,0.16950974231042099
primary_concept_top_of_background,0.1573017655519641
color_grey,0.14968131858496803
color_silver,0.09622606862207086
color_black,0.09540048165357734
primary_concept_butter_knife,0.07962620574649851
color_yellow,0.06991523638355843
primary_concept_background_of_fork,0.04054460995180542
color_olive,0.025725868269130425
color_white,0.0014052100854300698
primary_concept_handle_of_spatula,-0.5692909703543223
primary_concept_spoon,-0.5634711543253892
primary_concept_teaspoon,-0.562045042184534
primary_concept_top_of_spatula,-0.5361827370737767
primary_concept_guitar,-0.5121471719815741
primary_concept_shadow_of_spatula,-0.505291122324432
primary_concept_spatula,-0.49959800910192487
primary_concept_tail_of_spoon,-0.4808799350576507
color_red,-0.47566324530241944
color_bollywood,-0.4349400114285771
primary_concept_head_of_spoon,-0.3688379971553304
primary_concept_head_of_spatula,-0.3572848238200644
primary_concept_bottom_of_spatula,-0.35491492817815995
primary_concept_kitchen_spoon,-0.3318753598638746
primary_concept_side_of_background,-0.32946815669223584
primary_concept_bottom_of_utensil,-0.30973367938768315
primary_concept_head_of_butter_knife,-0.30890104176863686
primary_concept_sides_of_background,-0.2857272665305427
primary_concept_middle_of_background,-0.2530164717523858
primary_concept_bottom_of_knife,-0.23891835843530476
color_gold,-0.2351597842631851
primary_concept_cake_lifter,-0.22812892795911166
primary_concept_head_of_knife,-0.22178365204668976
primary_concept_background,-0.21504273678668195
primary_concept_tail_of_knife,-0.19037963424685952
primary_concept_knife,-0.1817337896528805
color_green,-0.1444859186484782
color_cornstalk,-0.022589481595011257
primary_concept_fork,-0.009290027198096545
color_darkgoldenrod,-0.0018668627568355078
