treatment,score
primary_concept_top_of_spatula,0.4891556842905927
primary_concept_guitar,0.4730236857466269
primary_concept_shadow_of_spatula,0.46766271431805456
primary_concept_head_of_spatula,0.31666376418257663
primary_concept_bottom_of_spatula,0.31515551656352886
primary_concept_kitchen_spoon,0.28879637608733744
primary_concept_spatula,0.27819431438653813
primary_concept_handle_of_spatula,0.26966371029955577
primary_concept_bottom_of_utensil,0.2582071532301958
color_yellow,0.226843453578908
primary_concept_sides_of_background,0.21740316180162383
color_goldenrod,0.150365437707982
color_grey,0.1262114880229699
color_blue,0.11824782912657111
primary_concept_side_of_background,0.11354628129755168
color_silver,0.06741756624464901
color_cornstalk,0.05153431647600859
color_bollywood,0.050759792678569615
color_black,0.04981430926511238
color_gold,0.038072768937179036
primary_concept_background,0.013160028194894313
color_white,0.010249289604616407
color_darkgoldenrod,0.007341980854616459
primary_concept_teaspoon,-0.48179734758968434
primary_concept_tail_of_spoon,-0.4199409983726093
primary_concept_spoon,-0.39450720137469325
primary_concept_head_of_spoon,-0.3769869482679235
primary_concept_fork,-0.3592998705670515
primary_concept_head_of_fork,-0.3332348761342317
primary_concept_knife,-0.30341033659930766
primary_concept_bottom_of_knife,-0.2721645562936144
primary_concept_butter_knife,-0.2510923094469691
primary_concept_head_of_knife,-0.2467599181703169
primary_concept_tail_of_knife,-0.22505915231971912
color_green,-0.21217686589617382
primary_concept_top_of_background,-0.20794071025254224
primary_concept_head_of_butter_knife,-0.19959175915075644
primary_concept_cake_lifter,-0.1880582024840904
color_olive,-0.1720015445487394
primary_concept_middle_of_background,-0.1531753820149313
primary_concept_background_of_fork,-0.14672749670243104
color_red,-0.02281821070679907
