treatment,score
primary_concept_tail_of_spoon,0.5038327865418498
primary_concept_spoon,0.38919812675971055
color_red,0.3891464142380948
primary_concept_teaspoon,0.3855806999999998
color_bollywood,0.38418017991071374
primary_concept_head_of_spoon,0.3776593837283624
color_green,0.21021112209202697
color_olive,0.1462756735575117
primary_concept_bottom_of_knife,0.0948957719047604
primary_concept_head_of_butter_knife,0.09230567047618954
primary_concept_tail_of_knife,0.07847150369047651
primary_concept_head_of_knife,0.0662529333067029
primary_concept_knife,0.006426888679534559
primary_concept_spatula,-0.5281383874222343
primary_concept_bottom_of_spatula,-0.37642773418095365
primary_concept_head_of_spatula,-0.3755661111428596
color_grey,-0.3755128128469718
primary_concept_kitchen_spoon,-0.3731081652380969
color_yellow,-0.3670739206237335
primary_concept_bottom_of_utensil,-0.36466057704762006
primary_concept_sides_of_background,-0.34786301333333475
primary_concept_shadow_of_spatula,-0.3465443471023746
primary_concept_guitar,-0.34504928681666075
color_goldenrod,-0.3198752028282311
primary_concept_butter_knife,-0.25410447925995705
color_black,-0.2479282309369697
primary_concept_top_of_spatula,-0.21633175100112406
color_blue,-0.19509496271049515
primary_concept_top_of_background,-0.18528663910714432
primary_concept_head_of_fork,-0.16712586203637758
primary_concept_fork,-0.15306848159405734
primary_concept_side_of_background,-0.15224365979544802
primary_concept_background,-0.15135161861852214
color_cornstalk,-0.13900280419047578
primary_concept_background_of_fork,-0.057669093934751114
primary_concept_handle_of_spatula,-0.04452754389176644
color_gold,-0.020653721962901717
color_silver,-0.015114555620946435
primary_concept_middle_of_background,-0.013997090809749979
color_white,-0.011654504872396942
color_darkgoldenrod,-0.00547511677715995
