primary_concept,nde,mediator,nie,total,mediation_proportion
color_silver,0.03347891066054798,color_green,-0.023771492401942762,0.009707418258605216,-2.448796556269772
primary_concept_backgroud,-0.041482318771222215,color_silver,-0.000817930801809847,-0.042300249573032064,0.019336311489077062
primary_concept_background_of_knife,0.0021811957894598867,primary_concept_background,-0.0032974255425962697,-0.001116229753136383,2.9540742247115
primary_concept_background_of_photo,-0.025750698444440355,primary_concept_background,-0.0035971915010141187,-0.029347889945454474,0.12257070296024014
primary_concept_border_of_spoon,0.12091744193440213,primary_concept_background,-0.003083307000869275,0.11783413493353286,-0.026166500926140694
primary_concept_bottom_of_background,0.10152320008945982,primary_concept_background,-0.0032974255425962796,0.09822577454686354,-0.03356986043437181
primary_concept_bottom_of_fork,-0.06317628433346696,primary_concept_background,-0.003811310042741161,-0.06698759437620812,0.056895759255609545
primary_concept_bottom_of_knife,-0.003409566567584445,primary_concept_background,-0.0010067941227328112,-0.004416360690317256,0.22796917945134745
primary_concept_bottom_of_spatula,-0.01806737793070074,primary_concept_background,-0.0016631703480472337,-0.019730548278747977,0.08429417796963379
primary_concept_butter_knife,-0.06684089676021726,primary_concept_background,-0.004081129351966404,-0.07092202611218366,0.05754389116733523
primary_concept_copyright_of_spoon,-0.013879299910740679,primary_concept_background,-0.00308330700086924,-0.016962606911609918,0.18177082195773198
primary_concept_fork,-0.016058584495617402,primary_concept_background,-0.0016631703480472267,-0.01772175484366463,0.09384907774197064
primary_concept_handle_of_fork,0.14792492560224707,primary_concept_background,-0.0038113100427411414,0.14411361555950594,-0.02644656459380421
primary_concept_handle_of_spoon,-0.020437046404722672,primary_concept_background,-0.004081129351966416,-0.02451817575668909,0.1664532219878959
primary_concept_head_of_fork,0.14792492560224704,primary_concept_background,-0.0038113100427411514,0.1441136155595059,-0.02644656459380429
primary_concept_head_of_knife,-0.0034095665675846765,primary_concept_background,-0.0010067941227328012,-0.004416360690317478,0.22796917945133374
primary_concept_head_of_spatula,0.0013981377898343536,primary_concept_background,-0.0031689544175600806,-0.001770816627725727,1.7895440826247448
