primary_concept,nde,mediator,nie,total,mediation_proportion
primary_concept_top-left_of_knife,-0.1221213789146556,color_silver,-0.005092521146138917,-0.12721390006079453,0.040031169107347865
primary_concept_top_of_fork,-0.18674984615152168,color_silver,-0.02616600198629375,-0.21291584813781544,0.12289363246157754
primary_concept_top_of_spatula,-0.17761219890743019,color_silver,-0.023688213331195154,-0.20130041223862533,0.11767593055455196
primary_concept_wire,0.42282284380351676,color_silver,0.009693389143642575,0.43251623294715935,0.02241161927632626
color_aqua,-0.061827213339091844,color_silver,0.05068229412380258,-0.011144919215289262,-4.54756944799327
color_azure,-0.18676869058932918,color_silver,0.01931683889928341,-0.16745185169004578,-0.11535757117239274
color_black,-0.22570609672128017,color_silver,0.03671959498708232,-0.18898650173419784,-0.194297447966559
color_blue,-0.041420150419097745,color_silver,0.07350954107655255,0.03208939065745481,2.2907739776440805
color_bollywood,-0.3236566501025651,color_silver,0.0036336881073372384,-0.3200229619952279,-0.011354460582086053
color_gold,-0.1287393004884744,color_silver,0.0761707187610102,-0.0525685817274642,-1.4489780065954332
color_gray,-0.08589190663991082,color_silver,0.05627545393274337,-0.02961645270716745,-1.9001416033569813
color_green,0.2731921954847155,color_silver,0.0869728066631955,0.36016500214791103,0.2414804496397956
color_grey,-0.2049715815245504,color_silver,0.053770924209545844,-0.15120065731500454,-0.3556262595970199
color_olive,0.33913280576738364,color_silver,0.0036336881073372445,0.34276649387472086,0.010601059824316831
color_plum,0.3449723809062732,color_silver,0.003633688107337208,0.3486060690136104,0.01042347919420571
color_purple,-0.3162474337424006,color_silver,0.024022850682237133,-0.29222458306016347,-0.08220680967586935
color_red,-0.1820840404429795,color_silver,0.04953079802455544,-0.13255324241842403,-0.3736671930529176
color_steel,-0.1877278040199856,color_silver,0.019316838899283397,-0.1684109651207022,-0.11470060091062825
color_white,-0.13466368647300758,color_silver,0.055033416402803244,-0.07963027007020435,-0.6911117638340821
color_yellow,0.365543374620399,color_silver,0.011170508485070365,0.3767138831054693,0.029652500175956976
