primary_concept,nde,mediator,nie,total,mediation_proportion
color_silver,0.06924152338207581,color_green,0.1342788094804028,0.20352033286247861,0.6597808071154088
primary_concept_background_of_fork,0.2583965582885228,primary_concept_background,-0.05349091185223794,0.20490564643628487,-0.2610514291946116
primary_concept_background_of_knife,0.20816854552305353,primary_concept_background,-0.02500485526733732,0.18316369025571622,-0.13651644183641337
primary_concept_bottom-right-corner_of_spatial,-0.0759981424652407,primary_concept_background,-0.04826978935565607,-0.12426793182089677,0.3884331914787615
primary_concept_bottom_of_knife,0.25423474307270516,primary_concept_background,-0.055333660968678804,0.19890108210402635,-0.27819688250735103
primary_concept_bottom_of_scraper,-0.12165680252188929,primary_concept_background,-0.055333660968679005,-0.1769904634905683,0.31263639790189995
primary_concept_bottom_of_utensil,-0.121270102273241,primary_concept_background,-0.0553336609686789,-0.1766037632419199,0.3133209618692005
primary_concept_butter_knife,0.17811809030898945,primary_concept_background,-0.02500485526733729,0.15311323504165217,-0.16330956145322834
primary_concept_fork,-0.13751002393463224,primary_concept_background,-0.07468129325816314,-0.21219131719279538,0.35195263522639003
primary_concept_handle_of_fork,-0.04185468131541234,primary_concept_background,-0.044737853549144224,-0.08659253486455656,0.5166479260495237
primary_concept_handle_of_knife,-0.060382869795052654,primary_concept_background,-0.025004855267337242,-0.0853877250623899,0.29283899119067813
primary_concept_head_of_fork,-0.09739359697241397,primary_concept_background,-0.04473785354914457,-0.14213145052155854,0.31476392723057955
primary_concept_head_of_knife,0.25423474307270455,primary_concept_background,-0.055333660968678595,0.19890108210402596,-0.27819688250735053
primary_concept_head_of_teaspoon,-0.05911212377854912,primary_concept_background,-0.02500485526733739,-0.08411697904588651,0.29726287785129607
primary_concept_knife,0.15302526482437878,primary_concept_background,-0.06710678032371695,0.08591848450066183,-0.7810517226150564
primary_concept_light_gradient_of_background,0.05422963720410604,primary_concept_background,-0.05356769306542316,0.0006619441386828823,-80.92479400453736
primary_concept_light_gradients_of_background,0.05376973408721384,primary_concept_background,-0.053567693065423326,0.00020204102179051386,-265.1327566585214
primary_concept_light_reflections_of_fork,-0.09730864393083782,primary_concept_background,-0.045326509516896436,-0.14263515344773425,0.31777937220438024
primary_concept_metal_drainer/spatula,-0.09825935334621452,primary_concept_background,-0.05533366096867856,-0.15359301431489308,0.3602615731939129
primary_concept_middle_of_background,0.11134561773378837,primary_concept_background,-0.0623975325817019,0.04894808515208647,-1.27476963374209
primary_concept_middle_of_knif,-0.09915260807363976,primary_concept_background,-0.04532650951689654,-0.1444791175905363,0.31372360430214535
primary_concept_spatula,-0.20276554577637323,primary_concept_background,-0.07716601125790053,-0.27993155703427375,0.2756602795177273
primary_concept_spoon,-0.13447406523706218,primary_concept_background,-0.05509222490579556,-0.18956629014285775,0.2906224775738233
primary_concept_tail_of_fork,-0.07504133100578148,primary_concept_background,-0.04826978935565603,-0.12331112036143752,0.39144717211369373
primary_concept_teaspoon,-0.11995455537864572,primary_concept_background,-0.05533366096867856,-0.17528821634732428,0.3156724514729379
primary_concept_texture/line_of_background,0.05376973408721352,primary_concept_background,-0.053567693065423035,0.0002020410217904861,-265.13275665855633
primary_concept_texture_of_spatula,-0.15418410856381481,primary_concept_background,-0.045326509516896374,-0.1995106180807112,0.22718845720060735
primary_concept_textures_of_spatula,-0.1556603928643685,primary_concept_background,-0.0447378535491445,-0.200398246413513,0.22324473566914305
primary_concept_top_of_fork,-0.02488671930381022,primary_concept_background,-0.04532650951689652,-0.07021322882070674,0.6455551222781707
primary_concept_top_of_scraper,-0.07565332703551203,primary_concept_background,-0.048269789355656186,-0.12392311639116821,0.389514004822883
color_aqua,-0.0014374870393873236,color_silver,-0.006861520167275583,-0.008299007206662906,0.826788071923443
color_beige,-0.002697086161009169,color_silver,-0.0068615201672757,-0.009558606328284869,0.7178368824513441
color_black,0.3314445343910774,color_silver,-0.06164901016137314,0.26979552422970426,-0.2285027164086128
color_blue,0.08372597953809588,color_silver,-0.03907560972450052,0.04465036981359536,-0.8751463848481404
color_bronze,0.11082481193993747,color_silver,-0.11138612812068113,-0.0005613161807436623,198.43740825912184
color_brown,0.2584358946012134,color_silver,-0.11675987375609363,0.14167602084511977,-0.8241329270797034
color_darkgray,0.21525523658774437,color_silver,-0.03133323912041192,0.18392199746733245,-0.17036156387969426
color_gold,0.09770031313370242,color_silver,-0.11582103885406315,-0.018120725720360734,6.391633571492383
color_golden,0.11061564695345148,color_silver,-0.11138612812068097,-0.0007704811672294837,144.56697043122563
color_gray,0.11020082540243752,color_silver,-0.11138612812068088,-0.0011853027182433667,93.97272646582343
color_grey,0.25948786284456166,color_silver,-0.1376011468983543,0.12188671594620737,-1.1289265268175919
color_lightbronze,0.2496131463196988,color_silver,-0.043682982023706594,0.2059301642959922,-0.2121252229999641
color_maroon,0.2795721794004672,color_silver,-0.04368298202370639,0.23588919737676078,-0.1851843259864766
color_olive,-0.3114653846953612,color_silver,-0.06901678904709706,-0.3804821737424583,0.18139296348168288
color_palegoldenrod,0.5525027327363335,color_silver,-0.10576492060943145,0.4467378121269021,-0.2367494260355724
color_red,0.054820186236433116,color_silver,-0.1074844414996299,-0.05266425526319679,2.040937272585775
color_white,0.10976749840248165,color_silver,-0.11783037926080227,-0.008062880858320617,14.613930347142032
color_yellow,-0.05303054879750811,color_silver,-0.06290620168265713,-0.11593675048016525,0.5425906920982686
