primary_concept,nde,mediator,nie,total,mediation_proportion
primary_concept_spatula,-0.5316965559731391,color_silver,0.0035581685509048096,-0.5281383874222343,-0.006737189788971232
primary_concept_spoon,0.38907637256343963,color_silver,0.00012175419627093086,0.38919812675971055,0.0003128334591037265
primary_concept_tail_of_spoon,0.5185416278104114,color_silver,-0.014708841268561488,0.5038327865418498,-0.029193894604434854
primary_concept_teaspoon,0.3855806999999999,color_silver,-9.100049952669776e-17,0.3855806999999998,-2.360089587645279e-16
primary_concept_top_of_background,-0.18528663910714438,color_silver,4.619308588240874e-17,-0.18528663910714432,-2.493060811346306e-16
primary_concept_top_of_spatula,-0.19633772278280417,color_silver,-0.019994028218319897,-0.21633175100112406,0.09242299443236147
color_black,-0.22940476868980245,color_silver,-0.018523462247167256,-0.2479282309369697,0.07471300132769648
color_blue,-0.17191979343822372,color_silver,-0.023175169272271413,-0.19509496271049515,0.11878917297655427
color_bollywood,0.4068607053492334,color_silver,-0.022680525438519655,0.38418017991071374,-0.05903616746650172
color_darkgoldenrod,0.018129508263867496,color_silver,-0.023604625041027446,-0.00547511677715995,4.311255084000533
color_gold,0.010569854773905322,color_silver,-0.03122357673680704,-0.020653721962901717,1.511765133320325
color_goldenrod,-0.30132203625235554,color_silver,-0.01855316657587558,-0.3198752028282311,0.05800126553054002
color_green,0.19836538901608647,color_silver,0.011845733075940515,0.21021112209202697,0.056351600039291204
color_grey,-0.3519429813505697,color_silver,-0.02356983149640213,-0.3755128128469718,0.06276704999146662
color_olive,0.14841500650796216,color_silver,-0.002139332950450449,0.1462756735575117,-0.014625350192691613
color_red,0.4161544882085617,color_silver,-0.027008073970466905,0.3891464142380948,-0.06940337359486068
color_white,0.011950120168630562,color_silver,-0.023604625041027505,-0.011654504872396942,2.025364895331913
color_yellow,-0.3466515393687143,color_silver,-0.020422381255019228,-0.3670739206237335,0.055635609362597684
primary_concept_tail_of_knife,0.07847150369047645,color_silver,5.713355359140173e-17,0.07847150369047651,7.28080269963472e-16
color_cornstalk,-0.11220328677576531,color_silver,-0.02679951741471047,-0.13900280419047578,0.1927983940380587
