treatment,score
primary_concept_branding_paper,0.3939293809880363
primary_concept_bottle_cap,0.39392938098803393
shape_oval,0.3205462186593153
primary_concept_bottom-right-corner_of_pump,0.293217105991888
shape_circle,0.27065639821216914
shape_rectangular,0.24356953715513882
primary_concept_pile,0.2161155572285022
shape_irregular,0.2057639335491476
color_chocolate,0.20576393354914702
primary_concept_scales_of_animal,0.1858122572285019
primary_concept_trash_bag,0.16667490646277808
primary_concept_ants,0.1509877259919854
shape_sphere,0.14583407520297398
primary_concept_ant,0.14556733646277883
shape_trapezoidal,0.126896175668244
color_white,0.10868259994613777
primary_concept_pipe,0.10552216709829607
primary_concept_bottle,0.1055221670982954
primary_concept_text,0.1055221670982947
primary_concept_top-left_of_pump,0.08144448799766224
primary_concept_top_of_box,0.06767805569943167
primary_concept_wall,0.059073917263702896
color_gold,0.05635612854362612
color_silver,0.05137754838158065
shape_god,0.051377548381580485
primary_concept_note,-0.9393752149296002
primary_concept_glass_of_window,-0.8948334699295997
primary_concept_window,-0.8713425618782012
primary_concept_top_of_bee,-0.8049170583441303
primary_concept_door,-0.6903847245708927
primary_concept_head_of_bottle,-0.6784207739939823
primary_concept_bee,-0.6247970983693709
shape_tubular,-0.5397171549017064
shape_round,-0.5142138606381809
primary_concept_camera,-0.5071632625635931
color_green,-0.4968895185568145
primary_concept_toiletpaper_of_toiletpaper,-0.4849020129017042
primary_concept_seal,-0.47874570400801586
color_grey,-0.42024489594228254
primary_concept_onesie_of_storage_box,-0.41062745080426377
primary_concept_bottom_of_furniture,-0.3743616440080154
primary_concept_insect,-0.2795324753775898
primary_concept_legs_of_dog,-0.2752568353775897
primary_concept_background,-0.26128238087050365
primary_concept_praying_mantis,-0.25677818828179716
primary_concept_photo_of_kid,-0.2562534194201383
primary_concept_tree,-0.2509926690040081
shape_tree,-0.25099266900400796
primary_concept_sign,-0.24256904961632503
primary_concept_hand,-0.2376140114508522
primary_concept_reflection_of_glass,-0.23761401145085212
primary_concept_pen,-0.22407564927520374
primary_concept_water_background,-0.2146964790119685
color_blue,-0.20930769999467225
primary_concept_buildings,-0.20534489554299623
shape_square,-0.20004747186558072
primary_concept_top_of_finger,-0.1993598164508521
primary_concept_grasshopper,-0.18831419215342493
primary_concept_mantis,-0.18135040469838032
primary_concept_top-left_of_tree,-0.17903378964744365
color_beige,-0.17710104707038243
shape_line,-0.1732730864015387
shape_triangle,-0.1656569119331014
shape_man,-0.16034116219854255
shape_hand,-0.1603411621985425
shape_pen,-0.15302727267574862
color_pink,-0.1345273558164286
shape_mantis,-0.12679784393545318
primary_concept_body_of_ants,-0.12606762851644526
shape_plant,-0.12081141903038878
color_orange,-0.07738124818579378
color_light,-0.07046254635524352
color_clear,-0.060757662750423325
primary_concept_tail_of_ants,-0.03789840390519
color_dark,-0.022623827209109493
color_yellow,-0.02219325694938254
color_black,-0.014606763941650752
color_red,-0.008964760071571265
color_brown,-0.007381993959023808
primary_concept_doormat,-0.007262929061428419
