treatment,score
shape_tubular,0.7194626006077774
shape_triangle,0.4743697943638739
primary_concept_bottom_of_furniture,0.4600974006077779
color_pink,0.460097400607777
primary_concept_bee,0.4472643845371382
shape_square,0.4168276219858263
primary_concept_camera,0.3986502435797987
primary_concept_head_of_bottle,0.2085277664056478
color_yellow,0.13721425559761796
primary_concept_bottle,0.1015615358034711
primary_concept_background,0.10099602577841227
shape_circle,0.07950055931815159
color_white,0.06607204255967736
primary_concept_branding_paper,0.042917600607777884
primary_concept_bottle_cap,0.04291760060777744
primary_concept_ant,0.042917600607777384
primary_concept_doormat,-0.32464476424390254
shape_tree,-0.23679612939222178
shape_plant,-0.23679612939222133
shape_mantis,-0.20132769789222235
shape_man,-0.1952340893922223
shape_trapezoidal,-0.19044841939222218
shape_pen,-0.18829689563612512
shape_round,-0.1881060580210141
primary_concept_head_of_grasshopper,-0.18160759939222287
shape_oval,-0.17349055962543494
primary_concept_clock,-0.16196959683924342
primary_concept_grasshopper,-0.1616113593922217
primary_concept_bottom-right-corner_of_pump,-0.154374183802658
primary_concept_ants,-0.14736266939222256
primary_concept_buildings,-0.1316804093922213
shape_sphere,-0.0991364193922224
primary_concept_body_of_ants,-0.0965864735589688
primary_concept_door,-0.08979999598178276
primary_concept_glass_of_window,-0.08008395064031906
shape_irregular,-0.07884752092908304
primary_concept_bottom_of_leaf,-0.07884752092908259
shape_hand,-0.06587166430713243
primary_concept_hand,-0.06587166430713182
color_silver,-0.04718382967298557
shape_god,-0.047183829672985456
shape_rectangular,-0.028438529243878075
shape_line,-0.026353432548249123
color_red,-0.0012460850185208039
