treatment,score
primary_concept_spoon,0.6473311824760406
primary_concept_head_of_spoon,0.6204119300514155
primary_concept_handle_of_spoon,0.5188441662066201
color_olive,0.36564686006869207
color_olivedrab,0.3651147447745744
primary_concept_top-left_of_spoon,0.24005120153211518
shape_rectangle,0.24005120153211418
primary_concept_background_of_photo,0.21922179803287667
primary_concept_handle_of_knife,0.12280078439213349
color_silver,0.028776072130351882
color_golden,0.02591252233538932
shape_fork,0.007145603190282346
color_gray,0.00714560319028168
color_black,-0.4085333768095187
shape_round,-0.37314777696157
shape_straight,-0.3541414694129916
primary_concept_fork,-0.3527090731202318
shape_trapezoidal,-0.35054333558945816
primary_concept_knife,-0.2922001544410697
color_brown,-0.2695064316305558
primary_concept_spatula,-0.23626448819935164
primary_concept_shade_of_spatula,-0.2361961407692975
color_white,-0.21103379614366985
color_purple,-0.15809879248394537
primary_concept_side_of_spatula,-0.15809879248394337
color_yellow,-0.15669263960504742
primary_concept_paper,-0.1508539818566969
primary_concept_tail_of_fork,-0.1435438002091217
shape_rectangular,-0.14354380020912016
primary_concept_spikes_of_fork,-0.14354380020911958
shape_circle,-0.14354380020911933
color_bollywood,-0.14321562384646563
shape_oval,-0.13362412073326568
color_blue,-0.12750968097137505
shape_square,-0.12589696502920392
primary_concept_guitar,-0.11726857777256033
primary_concept_knife_handle,-0.11198781324786564
color_red,-0.10633835125791077
shape_long,-0.1017710753654398
primary_concept_top_of_fork,-0.10177107536543908
primary_concept_head_of_spatula,-0.0970145430275299
primary_concept_head_of_knife,-0.09198705132494
shape_triangle,-0.08992684006340854
color_gold,-0.08985231785714021
shape_semicircle,-0.08761514011328522
color_violet,-0.08761514011328428
primary_concept_bottom-left_of_background,-0.06852431113733154
primary_concept_background,-0.04540699612697496
primary_concept_handle_of_fork,-0.04389084032023427
shape_cylinder,-0.03982571576273475
color_green,-0.033264099979928186
