treatment,score
color_black,0.6868800576771428
color_lightbronze,0.3179473663846155
color_silver,0.2455628477983383
color_green,0.14605437568382035
shape_cylindrical,0.11343542264492684
color_red,0.0717935306896462
primary_concept_background,0.029333472573758318
primary_concept_butter_knife,0.014413953569231142
color_gold,0.012845066614137118
shape_square,0.003201422890769412
primary_concept_middle_of_the_handle_of_spatula,-0.4426308729230765
primary_concept_spoon,-0.39176784576692386
primary_concept_light_reflections_of_spoon,-0.36377432072997384
primary_concept_head_of_spoon,-0.3608923727847303
primary_concept_tablespoon,-0.3285596653453583
primary_concept_spatula,-0.27263861932905376
primary_concept_handle_of_spatula,-0.2722319263459337
shape_triangular,-0.23001303787016658
shape_rectangle,-0.21725060046072187
primary_concept_fish_knife,-0.16101810221538393
primary_concept_fork,-0.15627636850711518
shape_oval,-0.14841286183295194
primary_concept_handle_of_spoon,-0.14269060172589734
primary_concept_handle_of_fork,-0.14004409113333305
primary_concept_light_reflections_of_background,-0.10841609063130081
primary_concept_texture_of_background,-0.10841609063130081
primary_concept_knife,-0.09678757162227973
primary_concept_guitar_keychain,-0.09028784660000001
primary_concept_bottom_of_spatula,-0.08549167021977994
shape_spatula,-0.08474964350964709
shape_rectangular,-0.06723757977833203
color_bronze,-0.05218847864278599
shape_round,-0.0519725668897439
color_grey,-0.04684060814662282
shape_long,-0.038572624153847046
shape_teaspoon,-0.03691787451122676
color_blue,-0.02746805845155892
color_yellow,-0.02057863817925165
color_brown,-0.011810318003298514
color_golden,-0.01097331415384592
