treatment,score
color_blue,0.39981631372268445
color_grey,0.35230067666039033
primary_concept_middle_of_the_handle_of_spatula,0.32490812318090156
primary_concept_bottom_of_spatula,0.2839271980049257
primary_concept_handle_of_spatula,0.20484162942026557
shape_rectangle,0.1790525576114792
color_gold,0.17316536422224943
color_red,0.15947345574888694
primary_concept_guitar_keychain,0.15834894930769206
primary_concept_background,0.14823265969897848
primary_concept_spatula,0.12170810783559999
shape_long,0.11528529023076961
shape_triangular,0.07819339138226428
shape_rectangular,0.04680451712133871
shape_spatula,0.044811370871277734
shape_oval,0.032099275098213975
color_silver,0.010486564451136271
shape_cylindrical,0.0050751905186523505
color_black,-0.4142479447829552
primary_concept_knife,-0.3556881746525199
primary_concept_head_of_teaspoon,-0.33807813916938234
primary_concept_light_reflections_of_spoon,-0.3011020488063663
primary_concept_handle_of_spoon,-0.28456615266286445
primary_concept_fork,-0.24522730031509507
primary_concept_butter_knife,-0.19024943859290366
primary_concept_handle_of_fork,-0.1728339782528741
color_lightbronze,-0.1634490902461533
shape_square,-0.1627804897564103
color_aquamarine,-0.160660724243727
primary_concept_tail_of_teaspoon,-0.16066072424372693
primary_concept_texture_of_background,-0.15508038949112468
primary_concept_light_reflections_of_background,-0.15508038949112463
primary_concept_teaspoon,-0.154932900964457
shape_round,-0.14908579592307503
primary_concept_head_of_spoon,-0.14629264404963988
shape_teaspoon,-0.13431798781144322
primary_concept_tablespoon,-0.12112951219098267
primary_concept_spoon,-0.10855974834118265
primary_concept_middle_of_background,-0.09212467081909986
color_green,-0.07996728309151702
color_brown,-0.0745074369236236
color_bronze,-0.03001641046692427
color_golden,-0.01636104115384507
primary_concept_fish_knife,-0.016342178652519967
color_yellow,-0.009644858207523255
