treatment,score
primary_concept_tail_of_spatula,0.3643451053348188
primary_concept_copyright_of_spoon,0.28123120841142935
primary_concept_spatula,0.27991159338241656
primary_concept_top_of_spoon,0.27730321313904793
primary_concept_shadow,0.2751391224218154
primary_concept_knife,0.2560763157660272
primary_concept_head_of_spoon,0.22774445162872914
primary_concept_left_of_background,0.22543385750285794
primary_concept_top_of_spatula,0.2224671653571434
primary_concept_label,0.21905534036000074
primary_concept_middle_of_knife,0.21403508285714312
primary_concept_butter_knife,0.2134913264063597
color_goldenrod,0.19735667929211442
primary_concept_background,0.19321896135803074
primary_concept_fork,0.18704780377327834
primary_concept_head_of_knife,0.17865106380633755
color_yellow,0.17155073252462083
primary_concept_top_of_knife,0.1643042542536466
primary_concept_spoon,0.15841575151818266
color_green,0.14974140335442254
primary_concept_backgroud,0.14194023347107287
primary_concept_handle_of_spoon,0.14108271207895073
color_darkgoldenrod,0.13044950023809576
color_blue,0.12858563053885408
color_red,0.1266888589239783
color_brown,0.11831587071428584
primary_concept_middle_of_background,0.11574777113818735
primary_concept_bottom_of_spatula,0.11234085346690337
color_bollywood,0.10790372071428633
primary_concept_head_of_spatula,0.1003488925714281
color_black,0.08871016267862075
shape_linear,0.08278429488562278
color_cornstalk,0.08149493828571486
shape_rectangle,0.08149493828571464
shape_parallelogram,0.0778963061437753
primary_concept_background_of_photo,0.06642494150482314
shape_rectangular,0.056460147175274145
shape_square,0.053707133871382706
shape_flat,0.04881006130952359
color_silver,0.048020279401951194
shape_oval,0.04199897207697589
primary_concept_background_of_knife,0.040824146359925595
color_golden,0.04055751767822713
primary_concept_border_of_spoon,0.03287655275804513
primary_concept_bottom_of_knife,0.027100499243814302
color_darkviolet,0.022143532492419737
color_white,0.012753948686541228
shape_spatula,0.00983119630194329
color_steel,-0.298264356
primary_concept_bottom_of_background,-0.2795564828571435
color_khaki,-0.20194896999999978
shape_cylinder,-0.19475751723879609
primary_concept_bottom_of_fork,-0.1398839406166973
shape_round,-0.07163921855067468
shape_line,-0.0713654927755093
shape_long,-0.06836067761897135
color_cyan,-0.06836067761897047
color_grey,-0.03137828403896137
color_aquamarine,-0.029216104880746663
color_olive,-0.017767333504593696
