treatment,score
primary_concept_border_of_spoon,0.11138147354125648
primary_concept_bottom_of_background,0.09614365920560504
primary_concept_tablespoon,0.07739591923756489
shape_rectangular,0.0769094702400238
color_grey,0.06409242439501578
primary_concept_top_of_spoon,0.06247178903205891
primary_concept_handle_of_fork,0.06106680804072652
primary_concept_head_of_fork,0.06106680804072631
primary_concept_middle_of_spatula,0.05470012022682551
color_green,0.05359194319021328
primary_concept_head_of_knife,0.05203696160414768
primary_concept_label,0.047110790478786
color_olive,0.045846854569114234
primary_concept_copyright_of_spoon,0.03975216983259486
color_khaki,0.03029492986071658
primary_concept_handle_of_spoon,0.0265051958352375
shape_flat,0.020947836613273887
primary_concept_background_of_knife,0.01557632487434174
primary_concept_tail_of_spatula,0.015299447851197023
color_silver,0.014612284811399617
color_bollywood,0.010204880506133232
primary_concept_top_of_knife,0.010204880506133218
primary_concept_head_of_spoon,0.00663131398448262
primary_concept_spoon,0.0027753022380854614
primary_concept_head_of_spatula,0.0011306611322267346
primary_concept_left_of_background,0.0004394586502143999
color_steel,0.000287793154285676
color_white,-0.10653620826806173
primary_concept_knife,-0.08440073172442195
color_yellow,-0.08081415909582293
color_red,-0.08029858567660002
color_golden,-0.07047494628609455
primary_concept_top_of_spatula,-0.0698059888285066
primary_concept_middle_of_knife,-0.06942943682136338
primary_concept_butter_knife,-0.06847631534928689
color_darkviolet,-0.06244390826133055
primary_concept_bottom_of_knife,-0.05904970707329665
color_blue,-0.045864174781882885
primary_concept_backgroud,-0.04231835236319135
shape_square,-0.04205497980391877
color_goldenrod,-0.041549920368110456
shape_round,-0.04122539581437041
color_darkgoldenrod,-0.040297802470412356
shape_cylinder,-0.037520041225252564
primary_concept_bottom_of_fork,-0.03413821808368637
color_beige,-0.03161307758332493
primary_concept_background,-0.031025899407161613
shape_oval,-0.029485550040978338
shape_line,-0.02900661173461578
shape_rectangle,-0.028000992170106445
shape_long,-0.024296408884095143
color_aquamarine,-0.021209955524938706
shape_spatula,-0.015599747007800646
color_brown,-0.015209983486749082
primary_concept_bottom_of_spatula,-0.015209983486748901
primary_concept_fork,-0.013199028552006428
primary_concept_shadow,-0.012921689945454895
primary_concept_spatula,-0.01081906135801372
color_cornstalk,-0.009649006182772174
primary_concept_middle_of_background,-0.009649006182772146
shape_linear,-0.006632389337707961
color_black,-0.005282256286836304
primary_concept_background_of_photo,-0.004486598127076746
color_cyan,-0.004314383874417543
shape_parallelogram,-0.0030112169916227255
