treatment,score
color_transplant,0.7963626441303147
shape_rectangle,0.7952235441303126
primary_concept_fingers,0.7884225278700407
shape_circle,0.7824963830741072
primary_concept_bee,0.7380497794499781
primary_concept_ground,0.7368839841303139
color_red,0.7274998906560136
primary_concept_bicycle_bidon,0.7232230741303141
color_silver,0.7178403102029169
color_orange,0.6454227025696728
primary_concept_bottom_of_glass_jar,0.5170843243919987
primary_concept_background,0.4342447777274763
primary_concept_backpack,0.26659734824494696
color_lightgray,0.26659734824494646
color_yellow,0.06831995948504432
primary_concept_background_of_photo,0.060360163013698176
primary_concept_branches_of_tree,0.032565892256380846
primary_concept_head_and_torso_of_mantis,0.01239748564321591
color_skin,-0.5100762195205474
primary_concept_ant_statue,-0.4929101279315079
shape_crescent,-0.49193072242328756
shape_opening_of_the_can,-0.48152204205479426
shape_circus,-0.20240658753968518
shape_splotches,-0.20035251516968527
primary_concept_ant,-0.19922944618676444
color_plum,-0.18841595738106978
color_white,-0.18589307098630306
primary_concept_bottom_of_petri_dish,-0.1815192618696848
primary_concept_cups,-0.17741996274229904
primary_concept_gravel_road,-0.1761318358696856
color_maroon,-0.1761318358696855
primary_concept_bottom_right_of_grass,-0.176131835869685
shape_square,-0.17593284501447282
primary_concept_bell_of_bicycle,-0.17571601086968647
primary_concept_handlebar_of_bicycle,-0.17571601086968597
shape_leaf_blade,-0.11967273586968549
primary_concept_basket,-0.09899300646276804
shape_long,-0.07255518800818644
primary_concept_copyright_of_petri_dish,-0.06214646052116751
shape_oval,-0.06135706901614185
shape_round,-0.05943751547565562
primary_concept_handle_of_keyboard,-0.01364897801766618
