treatment,score
color_skin,0.5016082587328763
shape_crescent,0.5001793952054787
primary_concept_ant_statue,0.4938500268493138
shape_circus,0.4315833401140623
primary_concept_basket,0.39153799632146113
color_white,0.3522255820028193
shape_oval,0.2846970863503639
color_yellow,0.25029497163152636
color_plum,0.22692795076536976
primary_concept_cups,0.20945837739937334
shape_circle,-0.561260878163831
shape_rectangle,-0.5608527368859391
color_transplant,-0.5604986326159396
primary_concept_bottom_of_petri_dish,-0.5599067093859369
shape_splotches,-0.557718641585938
primary_concept_fingers,-0.5541646267694977
primary_concept_backpack,-0.5531497318859386
primary_concept_bee,-0.5454131789878407
primary_concept_bottom_right_of_grass,-0.5413684698859386
primary_concept_gravel_road,-0.5413684698859385
primary_concept_bicycle_bidon,-0.5336621428859382
primary_concept_ant,-0.5255325460929815
color_silver,-0.5080111663927878
color_red,-0.4983977817911486
shape_round,-0.45892244578494723
primary_concept_copyright_of_petri_dish,-0.436864032277397
primary_concept_bottom_of_glass_jar,-0.39889578531144154
primary_concept_handle_of_keyboard,-0.252576152900088
primary_concept_background,-0.24334349419534637
primary_concept_cup,-0.1351752850347035
shape_square,-0.07946861731883448
shape_opening_of_the_can,-0.010858503082191773
