treatment,score
primary_concept_spatula,0.648837309420865
primary_concept_handle_of_spatula,0.5568100893377912
primary_concept_head_of_spatula,0.4768154620238553
color_bollywood,0.4606531496231002
primary_concept_top_of_spatula,0.3968045716604159
primary_concept_pasta_server,0.30002673144715997
primary_concept_middle_of_background,0.1973413384530055
color_green,0.18081773695822217
color_red,0.13036282323483755
color_grey,0.1170451249121301
shape_handle,0.06942911747806507
shape_rectangle,0.002034631259727304
shape_flat,0.001563242103852669
primary_concept_light_gradient_of_background,-0.3546744202722568
primary_concept_textures_of_background,-0.3546744202722562
primary_concept_textura/line_of_background,-0.354195476480321
color_purple,-0.23250182168648947
color_plum,-0.2103963951206504
color_olive,-0.21036910241926052
color_yellow,-0.20353948809139638
primary_concept_fork,-0.19715263324922253
primary_concept_knife,-0.1376252825459605
color_white,-0.1364250664114869
primary_concept_teaspoon,-0.13147988178088138
primary_concept_spoon,-0.12826721052883433
shape_middle part,-0.12536999159827164
primary_concept_wire,-0.11981260415377515
primary_concept_bulb,-0.11348897131443031
primary_concept_string,-0.11268486465029326
color_silver,-0.10947561487589413
primary_concept_light_reflection_of_spoon,-0.10640807690744153
shape_edge,-0.07303821146269066
color_steel,-0.07303821146269035
shape_spatula-shaped,-0.07224539578348285
shape_long,-0.06550680746258655
shape_scalene triangle,-0.0624496546004609
primary_concept_background,-0.060789892182933236
primary_concept_top-left_of_knife,-0.05630097469708045
primary_concept_spoon_light_reflection_of_spoon,-0.055035234913313885
color_blue,-0.05398511492033958
primary_concept_edge_of_knife,-0.05187790760112987
color_aqua,-0.0495136516126328
color_black,-0.04639984105272174
color_azure,-0.04129248423916376
primary_concept_middle_of_fork,-0.04129248423916276
primary_concept_top_of_fork,-0.027253820268062973
color_gold,-0.021250424729268136
shape_square,-0.012802927358842864
shape_knife,-0.0055353696129266106
color_gray,-0.005535369612926333
shape_bowl and neck,-0.0013243564606491565
shape_spoon,-0.0007580969627592471
