treatment,score
primary_concept_spoon,0.5160368763492166
primary_concept_light_reflection_of_spoon,0.40969817166190375
primary_concept_teaspoon,0.3909805772178686
primary_concept_wire,0.36929155980525336
color_plum,0.36341526476429054
color_olive,0.3575756896254013
primary_concept_string,0.3444055094068398
primary_concept_spoon_light_reflection_of_spoon,0.3432638184934922
color_green,0.3332115439234588
color_yellow,0.21896931119696872
primary_concept_textures_of_background,0.15528037572652958
primary_concept_light_gradient_of_background,0.15528037572652897
primary_concept_textura/line_of_background,0.15436238061245144
shape_flat,0.140746118993259
shape_middle part,0.05111509537949055
shape_square,0.045893731459731524
shape_spoon,0.015666098751128565
color_blue,0.009693780828116783
shape_bowl and neck,0.006206503333333724
primary_concept_spatula,-0.3690117671812898
primary_concept_middle_of_background,-0.3477804630220237
color_bollywood,-0.30521376624454943
color_purple,-0.28433710310781946
shape_rectangle,-0.2788019676860513
primary_concept_knife,-0.24551967452404777
primary_concept_head_of_spatula,-0.20671895263082235
primary_concept_fork,-0.18191691448323755
color_grey,-0.17859000830363003
color_red,-0.17836514670518566
primary_concept_pasta_server,-0.1663233944004403
primary_concept_top-left_of_knife,-0.15361687123806816
primary_concept_handle_of_spatula,-0.15042497108368463
color_black,-0.14691992528398584
shape_scalene triangle,-0.1370184086871858
primary_concept_background,-0.13461562535371097
color_azure,-0.13042060212772016
primary_concept_middle_of_fork,-0.13042060212771972
primary_concept_top_of_spatula,-0.11707169494472186
color_steel,-0.11493873221975026
shape_edge,-0.11493873221974987
primary_concept_top_of_fork,-0.09773871804544221
primary_concept_edge_of_knife,-0.09477532353792639
color_gold,-0.08055916519624978
color_aqua,-0.06373907525500871
shape_spatula-shaped,-0.06209203970817817
color_silver,-0.051239015581969194
primary_concept_bulb,-0.04352813599127053
shape_long,-0.04009948825494164
color_gray,-0.017614217165225654
shape_knife,-0.017614217165225154
shape_handle,-0.016455776206553308
color_white,-0.011372776573956689
