treatment,score
shape_square,0.35588361594232676
color_palegoldenrod,0.29868843025675595
color_darkgray,0.25967783844851144
color_black,0.25874080344341
primary_concept_knife,0.2394433915788976
color_lightbronze,0.2336050038441074
shape_rectangle with curved edges,0.19687641938464795
primary_concept_butter_knife,0.19470218250782265
shape_rectangular,0.1937992601539163
shape_rectangle,0.18635303309050744
primary_concept_bottom_of_knife,0.16998294285182508
primary_concept_head_of_knife,0.1592673251481051
color_silver,0.14179404462302664
color_grey,0.1348023925438028
primary_concept_background,0.10820229817723842
color_maroon,0.06355700587794604
primary_concept_background_of_knife,0.04292412740798686
primary_concept_middle_of_background,0.014702323181077975
shape_spoon and long,0.013498743001323865
primary_concept_spatula,0.006165247263231685
primary_concept_handle_of_fork,0.0008671704708892586
primary_concept_light_gradient_of_background,0.000661944138682341
primary_concept_texture_of_spatula,0.0006019948657580432
primary_concept_texture/line_of_background,0.0002020410217906804
primary_concept_light_gradients_of_background,0.00020204102179065264
shape_long,-0.41119102901521776
color_olive,-0.22075116129039052
primary_concept_textures_of_spatula,-0.2003982464135142
color_green,-0.12825143883558557
shape_line,-0.1262861805910632
primary_concept_bottom-right-corner_of_spatial,-0.11836943527791918
primary_concept_top_of_scraper,-0.11802461984819099
color_blue,-0.11531296638848809
primary_concept_fork,-0.08070446978908435
primary_concept_spoon,-0.07876667880840532
shape_curve,-0.06892885164290373
primary_concept_bottom_of_scraper,-0.060709891617292434
primary_concept_tail_of_fork,-0.05942224254226959
primary_concept_teaspoon,-0.05900764447404891
color_brown,-0.05345375622384898
primary_concept_middle_of_knif,-0.05073741575139688
primary_concept_top_of_fork,-0.050686514219631607
shape_straight,-0.04920831376138681
primary_concept_handle_of_knife,-0.043957527134357355
color_beige,-0.04395752713435733
color_aqua,-0.04268593529172833
primary_concept_head_of_teaspoon,-0.0426859352917278
color_red,-0.04169857614806936
shape_linear,-0.041138783885025204
primary_concept_background_of_fork,-0.0395695511046681
primary_concept_metal_drainer/spatula,-0.03731244244161701
color_gold,-0.031088372405650308
primary_concept_bottom_of_utensil,-0.03048246372351715
primary_concept_head_of_fork,-0.02437524721952873
primary_concept_light_reflections_of_fork,-0.02398787116494512
color_white,-0.023975688427443728
color_golden,-0.019986227142369445
shape_fork,-0.01003122283577941
color_bronze,-0.009863921820302768
color_yellow,-0.007948606213790052
shape_ellipse,-0.0028602004802176922
shape_fork shape,-0.0018707625712874598
color_gray,-0.0005999680425674697
shape_spoon,-0.0005999680425669701
shape_flower floral,-0.0002841230050674992
